n,log_loss,margin_mae,accuracy,season,model
233,0.6637256127455001,11.105781889043168,0.6266094420600858,1979,massey
233,0.6514373624474005,,0.630901287553648,1979,bradley_terry
233,0.6587398676242135,10.748149168319898,0.5793991416309013,1979,bayesian_margin
233,0.6634673461591539,10.958338010433668,0.5965665236051502,1979,elo
233,0.6383247726658615,10.064907065489137,0.6459227467811158,1980,massey
233,0.6357574921862776,,0.6676618772158984,1980,bradley_terry
233,0.6300318121803974,9.887429105264825,0.6415376002985632,1980,bayesian_margin
233,0.6675778499889067,10.636797209394896,0.603448275862069,1980,elo
233,0.6727807429206851,11.342612863092613,0.611774584810599,1981,massey
233,0.6453496813008789,,0.6422840082104871,1981,bradley_terry
233,0.6402084851401453,10.927154498883553,0.6378055607389438,1981,bayesian_margin
233,0.6519035496973413,11.13766929387704,0.6336206896551724,1981,elo
141,0.6695523571097268,10.777061805896917,0.5996847911741529,1982,massey
141,0.6353434229187547,,0.6136065143157342,1982,bradley_terry
141,0.646578768520973,10.484635935347304,0.6141318623588128,1982,bayesian_margin
141,0.6678917745528771,10.572430071299133,0.6,1982,elo
233,0.6728759194860597,11.462686071638771,0.6167858845970434,1983,massey
233,0.669715127302333,,0.5732951835956128,1983,bradley_terry
233,0.6618642579652727,11.135213376126801,0.6297567954220316,1983,bayesian_margin
233,0.6766960501656362,11.271624320067197,0.5603448275862069,1983,elo
233,0.5841751906510131,11.179124755127802,0.681097219630528,1984,massey
233,0.6046456358714115,,0.6638365366672886,1984,bradley_terry
233,0.5855369309987706,11.036856221899713,0.6724202276544131,1984,bayesian_margin
233,0.6466298907688248,11.629749535002315,0.625,1984,elo
233,0.5790267272860492,10.946697110659489,0.6695278969957081,1985,massey
233,0.571855382492276,,0.6952789699570815,1985,bradley_terry
233,0.5750022323093431,10.732208544025982,0.6866952789699571,1985,bayesian_margin
233,0.6332976803762376,11.78972104808266,0.6695278969957081,1985,elo
233,0.6103360090294471,11.244273300288048,0.6962741805063133,1986,massey
233,0.6088733812578647,,0.6836826937032199,1986,bradley_terry
233,0.6170657202091585,10.989357346654577,0.6620347909021169,1986,bayesian_margin
233,0.6577763683051795,11.484547285989553,0.6060606060606061,1986,elo
219,0.6994909597723674,12.020850479784992,0.587023468195816,1987,massey
219,0.679769007702469,,0.5596262079218435,1987,bradley_terry
219,0.6718861718709838,11.611840490818771,0.5959435064245513,1987,bayesian_margin
219,0.6767982001688202,11.655216866611546,0.573394495412844,1987,elo
233,0.6738611610559698,11.499611830314123,0.6378988617279343,1988,massey
233,0.6794628573503069,,0.6252099272252285,1988,bradley_terry
233,0.6676951214477876,10.982408865651818,0.6338869192013434,1988,bayesian_margin
233,0.6659907508066097,10.941404204145032,0.6077586206896551,1988,elo
233,0.6599062059725406,10.990595612224686,0.6419108042545251,1989,massey
233,0.6540837330416449,,0.5987124463519313,1989,bradley_terry
233,0.6448311467329452,10.637235570668595,0.6247434222802761,1989,bayesian_margin
233,0.6618921595470184,11.049180784944447,0.6336206896551724,1989,elo
235,0.6083958072342198,11.035052975538918,0.6638297872340425,1990,massey
235,0.6016836992488253,,0.6808510638297872,1990,bradley_terry
235,0.6050117915125338,10.965333438660448,0.6723404255319149,1990,bayesian_margin
235,0.6462686041097229,11.48068753367425,0.6510638297872341,1990,elo
235,0.5774391478127961,9.838311027689409,0.7404255319148936,1991,massey
235,0.5681495079052091,,0.7404255319148936,1991,bradley_terry
235,0.5753144538064484,9.662050189459652,0.7276595744680852,1991,bayesian_margin
235,0.635797749454354,10.475181959193199,0.6468085106382979,1991,elo
235,0.6102729118892938,11.864548742589351,0.6723404255319149,1992,massey
235,0.6085910515831865,,0.6936170212765957,1992,bradley_terry
235,0.6124321538769897,11.58220170264894,0.6893617021276596,1992,bayesian_margin
235,0.6424266503527897,11.879383178576306,0.6680851063829787,1992,elo
235,0.7083308381797956,10.980075829302859,0.5872340425531914,1993,massey
235,0.6887484021425315,,0.5659574468085107,1993,bradley_terry
235,0.6802444181209326,10.83309039271848,0.5872340425531914,1993,bayesian_margin
235,0.6761048429134996,11.163233744437616,0.5574468085106383,1993,elo
235,0.6579623890871651,10.23601845719421,0.6212765957446809,1994,massey
235,0.6373083182162413,,0.6595744680851063,1994,bradley_terry
235,0.6410749451365537,9.87560083372233,0.6595744680851063,1994,bayesian_margin
235,0.6625152775500776,10.077132874577778,0.6042553191489362,1994,elo
251,0.7064532640667043,10.629005880415878,0.601593625498008,1995,massey
251,0.6974362417059303,,0.601593625498008,1995,bradley_terry
251,0.6719093259297272,10.35140127698834,0.6095617529880478,1995,bayesian_margin
251,0.6667075671765204,10.396569078253838,0.5976095617529881,1995,elo
251,0.6226182108629775,10.582535518188754,0.6653386454183267,1996,massey
251,0.6138468198106193,,0.6772908366533864,1996,bradley_terry
251,0.6110806330062211,10.33310443530729,0.6772908366533864,1996,bayesian_margin
251,0.6456042701399685,10.866165366714435,0.6374501992031872,1996,elo
251,0.6241435604979866,10.716476372412552,0.6548678754370274,1997,massey
251,0.6282067720650008,,0.6424343442556305,1997,bradley_terry
251,0.6218192922173933,10.337990165220651,0.6186112692088787,1997,bayesian_margin
251,0.6528775957022998,10.571415584272758,0.6265060240963856,1997,elo
251,0.5939638685797848,9.74053345576339,0.7211155378486056,1998,massey
251,0.5878627434021746,,0.7171314741035857,1998,bradley_terry
251,0.5762465356915549,9.522976859354715,0.7131474103585658,1998,bayesian_margin
251,0.6279850649217276,10.550803071160514,0.6733067729083665,1998,elo
259,0.6411802799184384,10.119431566926359,0.6332046332046332,1999,massey
259,0.6329926898601095,,0.6525096525096525,1999,bradley_terry
259,0.6201751455322564,9.87931921951168,0.6563706563706564,1999,bayesian_margin
259,0.6517247141704843,10.797061316079965,0.6061776061776062,1999,elo
259,0.6131252839426696,10.658233950338543,0.6447876447876448,2000,massey
259,0.6217814674878728,,0.640926640926641,2000,bradley_terry
259,0.6091347293282996,10.618256523969196,0.6293436293436293,2000,bayesian_margin
259,0.6584528664953668,11.426150742022951,0.5637065637065637,2000,elo
259,0.6388753525911386,10.568942838169933,0.6640926640926641,2001,massey
259,0.6247719495787764,,0.6602316602316602,2001,bradley_terry
259,0.6291877787414487,10.246316134345664,0.6486486486486487,2001,bayesian_margin
259,0.6583034360218334,10.592202854609402,0.61003861003861,2001,elo
267,0.6625679314672911,10.359822972537353,0.6540880503144654,2002,massey
267,0.6459749922209165,,0.6728853084587662,2002,bradley_terry
267,0.6390070861632303,10.086597766413355,0.6840505971309447,2002,bayesian_margin
267,0.665567595349428,10.817364195296387,0.6052631578947368,2002,elo
267,0.6362003114138346,11.318493599103922,0.6779026217228464,2003,massey
267,0.6164274887436874,,0.6479400749063671,2003,bradley_terry
267,0.6192399235287056,10.7428920599528,0.651685393258427,2003,bayesian_margin
267,0.6452049202491761,11.025916340476837,0.6441947565543071,2003,elo
267,0.6252728367833148,10.679427434499638,0.6367041198501873,2004,massey
267,0.6209423054640351,,0.6292134831460674,2004,bradley_terry
267,0.621819418290376,10.368266857440442,0.6254681647940075,2004,bayesian_margin
267,0.6583507498142941,10.852354630137828,0.6067415730337079,2004,elo
267,0.5897774738899733,10.501934033915306,0.704119850187266,2005,massey
267,0.5949472781733431,,0.704119850187266,2005,bradley_terry
267,0.5868430269959969,10.469354416303364,0.7078651685393258,2005,bayesian_margin
267,0.6453365206880658,11.015743455296313,0.6629213483146067,2005,elo
267,0.6472644867026389,10.792214384111519,0.6479400749063671,2006,massey
267,0.64032893718389,,0.6404494382022472,2006,bradley_terry
267,0.6387912707947115,10.586394787417332,0.6404494382022472,2006,bayesian_margin
267,0.6731455599934575,10.932854470808572,0.5468164794007491,2006,elo
267,0.5806966621415287,10.382909504912636,0.6816479400749064,2007,massey
267,0.5873898924869917,,0.6779026217228464,2007,bradley_terry
267,0.573413891132822,10.290284742719246,0.6891385767790262,2007,bayesian_margin
267,0.6500086765185058,11.544196441311287,0.6104868913857678,2007,elo
267,0.6179006672960619,11.177892753942468,0.6429934280262879,2008,massey
267,0.6152132032410833,,0.6543707158504699,2008,bradley_terry
267,0.615771614938128,11.047196926310288,0.654441382234471,2008,bayesian_margin
267,0.6525044698268073,11.479553611136922,0.6353383458646616,2008,elo
267,0.5990337166198497,11.714255537488102,0.6741573033707865,2009,massey
267,0.6069837380211397,,0.651685393258427,2009,bradley_terry
267,0.5963170698669892,11.455432894582003,0.6779026217228464,2009,bayesian_margin
267,0.6532439946005321,12.389424025559638,0.6292134831460674,2009,elo
267,0.6757065149985256,11.414663507930962,0.602996254681648,2010,massey
267,0.6629834223603176,,0.6142322097378277,2010,bradley_terry
267,0.6540558674321413,11.078744868478951,0.602996254681648,2010,bayesian_margin
267,0.6681631992485794,11.204803683486292,0.602996254681648,2010,elo
267,0.6612642095881212,11.511327778207601,0.6441947565543071,2011,massey
267,0.6277940932886237,,0.6479400749063671,2011,bradley_terry
267,0.6312179006072063,10.903764607200559,0.6479400749063671,2011,bayesian_margin
267,0.6526301532213401,11.339690860870624,0.602996254681648,2011,elo
267,0.6375531451598087,11.006333389969713,0.6694226556427108,2012,massey
267,0.6272330285752242,,0.6432760935622924,2012,bradley_terry
267,0.6208683246949402,10.858877517469463,0.6805879443148893,2012,bayesian_margin
267,0.6567668384211818,11.445148724497285,0.6353383458646616,2012,elo
267,0.6058785766165684,10.193405374876141,0.676559960426825,2013,massey
267,0.6109965165979713,,0.6767719595788284,2013,bradley_terry
267,0.5926159332956684,9.935599150189653,0.6877959154830047,2013,bayesian_margin
267,0.6473528435945124,10.618357311333476,0.6541353383458647,2013,elo
267,0.620668613537531,11.743777901302533,0.657951598962835,2014,massey
267,0.6225583988577,,0.6277729760875829,2014,bradley_terry
267,0.620794171233151,11.488905686238292,0.6464995678478824,2014,bayesian_margin
267,0.6521182028919573,11.947938782929569,0.6052631578947368,2014,elo
267,0.6382180216286659,10.19481837166568,0.6554307116104869,2015,massey
267,0.6475831446756052,,0.6404494382022472,2015,bradley_terry
267,0.6277086188771424,10.018887167823399,0.6704119850187266,2015,bayesian_margin
267,0.6687066229844969,10.539420345717735,0.5880149812734082,2015,elo
267,0.6266846214964606,9.348076511043134,0.6455632382598675,2016,massey
267,0.6153448760153591,,0.6681071737251513,2016,bradley_terry
267,0.6218786024648408,9.268120660576887,0.6605445116681071,2016,bayesian_margin
267,0.6495806682874142,9.796808557238707,0.6264150943396226,2016,elo
267,0.6205424588374369,10.773780334253622,0.6629213483146067,2017,massey
267,0.6152723890995427,,0.6554307116104869,2017,bradley_terry
267,0.6128720399863156,10.42701287266661,0.6629213483146067,2017,bayesian_margin
267,0.6532938102455493,11.041787430738195,0.6104868913857678,2017,elo
267,0.6446159250186658,10.545936423392478,0.641836945472731,2018,massey
267,0.646348551698489,,0.5889078238558841,2018,bradley_terry
267,0.6299874007033797,10.151015700294915,0.6343463087686111,2018,bayesian_margin
267,0.6555042606420978,10.346654867972113,0.630188679245283,2018,elo
267,0.6458608549396632,10.56964623260436,0.654206280610775,2019,massey
267,0.6336032587804696,,0.6654422356669548,2019,bradley_terry
267,0.6348723372559915,10.487135023652096,0.6618409680207432,2019,bayesian_margin
267,0.6695223140980827,11.14606469497465,0.5827067669172933,2019,elo
269,0.6301733903495115,10.530128385457944,0.6606579224240724,2020,massey
269,0.6144233044431149,,0.6682331486287438,2020,bradley_terry
269,0.62009658622709,10.13231133815525,0.6569404503051133,2020,bayesian_margin
269,0.6653484517907979,10.549510139412705,0.5746268656716418,2020,elo
285,0.7133989595467987,11.293735124628071,0.5952380952380952,2021,massey
285,0.6928818216224553,,0.5913533834586466,2021,bradley_terry
