season,model,home_adv,sigma,tau,alpha
1990,bayesian_margin,3.687994163485565,12.339676983197688,4.721044576586841,6.831740795805582
1991,massey,3.1524034628059847,10.978172956999817,,
1991,bradley_terry,0.487501580434445,,,
1991,bayesian_margin,3.166534641204909,10.952906165413287,6.099052989546573,3.2250312029788253
1992,massey,2.781375707436787,13.119059208306384,,
1992,bradley_terry,0.5011577910447984,,,
1992,bayesian_margin,2.763946232767902,13.085844102089947,5.020518489460998,6.793699644557526
1993,massey,2.9166240449595264,12.18430253920231,,
1993,bradley_terry,0.3775195516906503,,,
1993,bayesian_margin,2.94455303294209,12.150211192999617,4.117525796815573,8.707530335792587
1994,massey,1.5781707363844084,11.600836118499243,,
1994,bradley_terry,0.3429194050401157,,,
1994,bayesian_margin,1.6183560901229164,11.563974397591494,4.10415129404158,7.939031384456072
1995,massey,2.06832310924289,11.574166401661577,,
1995,bradley_terry,0.44069081355722234,,,
1995,bayesian_margin,2.118774242629239,11.545445096399746,4.024189377124408,8.231226267420677
1996,massey,3.814942419034992,11.860346129732854,,
1996,bradley_terry,0.6416678352812505,,,
1996,bayesian_margin,3.8768345792423085,11.828373249988873,4.533837097764744,6.8064117417131795
1997,massey,2.6856972057678825,12.19321488287231,,
1997,bradley_terry,0.4947625341188727,,,
1997,bayesian_margin,2.6962431860136564,12.161137663293058,4.061315695436583,8.966333955643524
1998,massey,3.531337056156101,10.70601980523201,,
1998,bradley_terry,0.6650550450614863,,,
1998,bayesian_margin,3.5577189901757666,10.684461759656141,5.714658403107033,3.4956242818380185
1999,massey,2.980838815813475,11.331083469441591,,
1999,bradley_terry,0.5221130378012483,,,
1999,bayesian_margin,2.987077088359531,11.31435162670883,5.206832970851946,4.721848522100244
2000,massey,2.6854816965355686,11.654400633590944,,
2000,bradley_terry,0.3192835590483809,,,
2000,bayesian_margin,2.6875066181959064,11.624325735197282,5.260027841074987,4.883817836820468
2001,massey,2.0422300058291016,11.825780402122609,,
2001,bradley_terry,0.3054298578409994,,,
2001,bayesian_margin,2.063505754353978,11.789188027581192,4.324253182407407,7.432682154383792
2002,massey,2.329693707872596,11.991948813633662,,
2002,bradley_terry,0.40444069421626727,,,
2002,bayesian_margin,2.3575062950969854,11.965372925191554,4.689917224915011,6.509117664971133
2003,massey,3.413019291717358,12.37906637152114,,
2003,bradley_terry,0.5576653347772883,,,
2003,bayesian_margin,3.433875018699157,12.3424184157739,4.220981323599043,8.55014872817881
2004,massey,2.4525563832348274,11.832944865465391,,
2004,bradley_terry,0.35102989944008317,,,
2004,bayesian_margin,2.4754473901178455,11.815290396032301,5.574753481536103,4.491976396201473
2005,massey,3.2328058781834135,11.391978985088189,,
2005,bradley_terry,0.4575121871916751,,,
2005,bayesian_margin,3.226524553817993,11.369046607980993,5.4995676688645005,4.273571687761138
2006,massey,0.8097043582795617,12.194259068164456,,
2006,bradley_terry,0.146742257036073,,,
2006,bayesian_margin,0.8300307032984536,12.174016042178875,4.57757662484185,7.072883323430828
2007,massey,2.531946459966002,11.646242170658349,,
2007,bradley_terry,0.3625540351790376,,,
2007,bayesian_margin,2.5515754875872685,11.622231977599268,6.553332443465012,3.1452464413418557
2008,massey,2.21495032551185,12.398521809682736,,
2008,bradley_terry,0.3516314330921516,,,
2008,bayesian_margin,2.1978076029780276,12.371445676277038,5.29441989362555,5.460144567208917
2009,massey,2.163345143921064,12.711846570528015,,
2009,bradley_terry,0.35569405719493047,,,
2009,bayesian_margin,2.1772843901259713,12.685238349004896,5.840198101249339,4.717828027328105
2010,massey,1.6998061105763864,12.42709532307773,,
2010,bradley_terry,0.28353417383638985,,,
2010,bayesian_margin,1.6715005770117426,12.417319775862241,5.317629692928579,5.4527997539675885
2011,massey,3.0989993537484963,12.317005748259772,,
2011,bradley_terry,0.38713027646132814,,,
2011,bayesian_margin,3.136834824855128,12.283838678974785,4.720414504932657,6.771859457537949
2012,massey,2.1709212339549704,11.838068067712728,,
2012,bradley_terry,0.3458788802871956,,,
2012,bayesian_margin,2.188839638614277,11.815783938972894,5.754706091380277,4.215788220830183
2013,massey,2.999147027564778,11.195564066850523,,
2013,bradley_terry,0.5150617995451029,,,
2013,bayesian_margin,3.0096642753170832,11.175833371178607,5.615183754921534,3.961246695796817
