season,model,graph_connected,n,log_loss,margin_mae,accuracy
1977,bayesian_margin,False,28,0.5822530951200219,9.796389978984296,0.7142857142857143
1977,bayesian_margin,True,161,0.638040793298113,10.239552479510577,0.6521739130434783
1977,bradley_terry,False,28,0.6105734835024101,,0.7142857142857143
1977,bradley_terry,True,161,0.6268172563063689,,0.6211180124223602
1977,elo,False,28,0.6507125939831988,10.728624254730784,0.6428571428571429
1977,elo,True,161,0.6477467139340414,10.78873782293951,0.6273291925465838
1977,massey,False,28,2.589864023624638,10.729591836734736,0.7142857142857143
1977,massey,True,161,0.6710095388882774,10.614965671789708,0.639751552795031
1978,bayesian_margin,False,28,0.8076314994756837,11.30291114649169,0.5
1978,bayesian_margin,True,191,0.650722870165955,10.560810443013633,0.6421052631578947
1978,bradley_terry,False,28,0.7057374956655741,,0.5357142857142857
1978,bradley_terry,True,191,0.6492501716870895,,0.6421052631578947
1978,elo,False,28,0.7262646156570145,10.87828413267726,0.39285714285714285
1978,elo,True,191,0.6503642194540382,10.51267330893244,0.6
1978,massey,False,28,2.6642691384510337,14.59374999999979,0.5357142857142857
1978,massey,True,191,0.6580277216755288,11.513893620304541,0.631578947368421
1979,bayesian_margin,False,14,0.5969925167699727,9.79952268157467,0.6428571428571429
1979,bayesian_margin,True,191,0.6645743227444542,11.000882103437108,0.5916230366492147
1979,bradley_terry,False,14,0.6066703797385318,,0.7857142857142857
1979,bradley_terry,True,191,0.6584650533712669,,0.6335078534031413
1979,elo,False,14,0.6529678416667808,9.860909989117399,0.5714285714285714
1979,elo,True,191,0.6576008546953158,11.057591709860738,0.6178010471204188
1979,massey,False,14,0.6335943943696558,14.466857142857146,0.7857142857142857
1979,massey,True,191,0.72898790998513,12.074609887149704,0.6020942408376964
1980,bayesian_margin,False,14,0.706626766296891,12.181247220347444,0.42857142857142855
1980,bayesian_margin,True,191,0.6409779582256647,9.950197363573137,0.6210526315789474
1980,bradley_terry,False,14,0.6828494682081925,,0.5
1980,bradley_terry,True,191,0.6480716552396734,,0.5947368421052631
1980,elo,False,14,0.6657473255141669,11.491108279053945,0.5714285714285714
1980,elo,True,191,0.66104290013148,10.484493371111283,0.6263157894736842
1980,massey,False,14,2.3058953671908973,18.659523809523737,0.5
1980,massey,True,191,0.6728668560403027,11.144526875287774,0.6263157894736842
1981,bayesian_margin,True,191,0.6640395410108372,11.268671475432555,0.6263157894736842
1981,bradley_terry,True,191,0.6428859791267304,,0.6421052631578947
1981,elo,True,191,0.6443172424080448,11.020890053436277,0.6526315789473685
1981,massey,True,191,0.7184189502860113,12.277397184406821,0.5789473684210527
1982,bayesian_margin,False,42,0.7950011325534913,11.224103706637814,0.40476190476190477
1982,bayesian_margin,True,71,0.6345857144344085,11.086966733385172,0.6428571428571429
1982,bradley_terry,False,42,0.7904417716058474,,0.42857142857142855
1982,bradley_terry,True,71,0.6195929124035268,,0.6571428571428571
1982,elo,False,42,0.6723443800477289,9.540148896045256,0.5952380952380952
1982,elo,True,71,0.6393212543080934,11.371649035369318,0.6857142857142857
1982,massey,False,42,0.7320882486599413,16.47321428571387,0.5
1982,massey,True,71,0.6400280765092018,11.155047543584944,0.6428571428571429
1983,bayesian_margin,True,191,0.6679339649813926,11.888189055045851,0.5842105263157895
1983,bradley_terry,True,191,0.6796753185188406,,0.5631578947368421
1983,elo,True,191,0.6612781911450168,11.795149751429415,0.6052631578947368
1983,massey,True,191,0.6996964481801586,12.624507575785644,0.5789473684210527
