season,date,week,game_type,home_franchise,away_franchise,home_score,away_score,neutral_site,overtime,source,margin,game_uid
1970,1970-11-16,,REG,DAL,ARI,0,38,False,,fivethirtyeight,-38,G000116
1970,1970-11-22,,REG,NO,DEN,6,31,False,,fivethirtyeight,-25,G000117
1970,1970-11-22,,REG,CLE,TEN,28,14,False,,fivethirtyeight,14,G000118
1970,1970-11-22,,REG,DET,SF,28,7,False,,fivethirtyeight,21,G000119
1970,1970-11-22,,REG,KC,ARI,6,6,False,,fivethirtyeight,0,G000120
1970,1970-11-22,,REG,NYJ,NE,17,3,False,,fivethirtyeight,14,G000121
1970,1970-11-22,,REG,MIA,IND,34,17,False,,fivethirtyeight,17,G000122
1970,1970-11-22,,REG,MIN,GB,10,3,False,,fivethirtyeight,7,G000123
1970,1970-11-22,,REG,CIN,PIT,34,7,False,,fivethirtyeight,27,G000124
1970,1970-11-22,,REG,WSH,DAL,21,45,False,,fivethirtyeight,-24,G000125
1970,1970-11-22,,REG,ATL,LAR,7,17,False,,fivethirtyeight,-10,G000126
1970,1970-11-22,,REG,OAK,LAC,20,17,False,,fivethirtyeight,3,G000127
1970,1970-11-22,,REG,CHI,BUF,31,13,False,,fivethirtyeight,18,G000128
1970,1970-11-23,,REG,PHI,NYG,23,20,False,,fivethirtyeight,3,G000129
1970,1970-11-26,,REG,DET,OAK,28,14,False,,fivethirtyeight,14,G000130
1970,1970-11-26,,REG,DAL,GB,16,3,False,,fivethirtyeight,13,G000131
1970,1970-11-29,,REG,BUF,NE,10,14,False,,fivethirtyeight,-4,G000132
1970,1970-11-29,,REG,SF,LAR,13,30,False,,fivethirtyeight,-17,G000133
1970,1970-11-29,,REG,ARI,PHI,23,14,False,,fivethirtyeight,9,G000134
1970,1970-11-29,,REG,IND,CHI,21,20,False,,fivethirtyeight,1,G000135
1970,1970-11-29,,REG,CIN,NO,26,6,False,,fivethirtyeight,20,G000136
1970,1970-11-29,,REG,WSH,NYG,24,27,False,,fivethirtyeight,-3,G000137
1970,1970-11-29,,REG,PIT,CLE,28,9,False,,fivethirtyeight,19,G000138
1970,1970-11-29,,REG,TEN,DEN,31,21,False,,fivethirtyeight,10,G000139
1970,1970-11-29,,REG,NYJ,MIN,20,10,False,,fivethirtyeight,10,G000140
1970,1970-11-29,,REG,KC,LAC,26,14,False,,fivethirtyeight,12,G000141
1970,1970-11-30,,REG,ATL,MIA,7,20,False,,fivethirtyeight,-13,G000142
1970,1970-12-05,,REG,MIN,CHI,16,13,False,,fivethirtyeight,3,G000143
1970,1970-12-06,,REG,DAL,WSH,34,0,False,,fivethirtyeight,34,G000144
1970,1970-12-06,,REG,LAR,NO,34,16,False,,fivethirtyeight,18,G000145
1970,1970-12-06,,REG,NYJ,OAK,13,14,False,,fivethirtyeight,-1,G000146
1970,1970-12-06,,REG,NYG,BUF,20,6,False,,fivethirtyeight,14,G000147
1970,1970-12-06,,REG,MIA,NE,37,20,False,,fivethirtyeight,17,G000148
1970,1970-12-06,,REG,SF,ATL,24,20,False,,fivethirtyeight,4,G000149
1970,1970-12-06,,REG,KC,DEN,16,0,False,,fivethirtyeight,16,G000150
1970,1970-12-06,,REG,IND,PHI,29,10,False,,fivethirtyeight,19,G000151
1970,1970-12-06,,REG,LAC,CIN,14,17,False,,fivethirtyeight,-3,G000152
1970,1970-12-06,,REG,DET,ARI,16,3,False,,fivethirtyeight,13,G000153
1970,1970-12-06,,REG,PIT,GB,12,20,False,,fivethirtyeight,-8,G000154
1970,1970-12-07,,REG,TEN,CLE,10,21,False,,fivethirtyeight,-11,G000155
1970,1970-12-12,,REG,CLE,DAL,2,6,False,,fivethirtyeight,-4,G000156
1970,1970-12-12,,REG,OAK,KC,20,6,False,,fivethirtyeight,14,G000157
1970,1970-12-13,,REG,ARI,NYG,17,34,False,,fivethirtyeight,-17,G000158
1970,1970-12-13,,REG,DEN,LAC,17,17,False,,fivethirtyeight,0,G000159
1970,1970-12-13,,REG,TEN,CIN,20,30,False,,fivethirtyeight,-10,G000160
1970,1970-12-13,,REG,NE,MIN,14,35,False,,fivethirtyeight,-21,G000161
1970,1970-12-13,,REG,NO,SF,27,38,False,,fivethirtyeight,-11,G000162
1970,1970-12-13,,REG,MIA,NYJ,16,10,False,,fivethirtyeight,6,G000163
1970,1970-12-13,,REG,CHI,GB,35,17,False,,fivethirtyeight,18,G000164
1970,1970-12-13,,REG,BUF,IND,14,20,False,,fivethirtyeight,-6,G000165
1970,1970-12-13,,REG,ATL,PIT,27,16,False,,fivethirtyeight,11,G000166
1970,1970-12-13,,REG,WSH,PHI,24,6,False,,fivethirtyeight,18,G000167
1970,1970-12-14,,REG,LAR,DET,23,28,False,,fivethirtyeight,-5,G000168
1970,1970-12-19,,REG,IND,NYJ,35,20,False,,fivethirtyeight,15,G000169
1970,1970-12-20,,REG,CIN,NE,45,7,False,,fivethirtyeight,38,G000170
1970,1970-12-20,,REG,ATL,MIN,7,37,False,,fivethirtyeight,-30,G000171
1970,1970-12-20,,REG,DET,GB,20,0,False,,fivethirtyeight,20,G000172
1970,1970-12-20,,REG,NYG,LAR,3,31,False,,fivethirtyeight,-28,G000173
1970,1970-12-20,,REG,MIA,BUF,45,7,False,,fivethirtyeight,38,G000174
1970,1970-12-20,,REG,NO,CHI,3,24,False,,fivethirtyeight,-21,G000175
1970,1970-12-20,,REG,PHI,PIT,30,20,False,,fivethirtyeight,10,G000176
1970,1970-12-20,,REG,OAK,SF,7,38,False,,fivethirtyeight,-31,G000177
1970,1970-12-20,,REG,LAC,KC,31,13,False,,fivethirtyeight,18,G000178
1970,1970-12-20,,REG,WSH,ARI,28,27,False,,fivethirtyeight,1,G000179
1970,1970-12-20,,REG,DAL,TEN,52,10,False,,fivethirtyeight,42,G000180
1970,1970-12-20,,REG,DEN,CLE,13,27,False,,fivethirtyeight,-14,G000181
1970,1970-12-26,,PLAYOFF,IND,CIN,17,0,False,,fivethirtyeight,17,G000182
1970,1970-12-26,,PLAYOFF,DAL,DET,5,0,False,,fivethirtyeight,5,G000183
1970,1970-12-27,,PLAYOFF,MIN,SF,14,17,False,,fivethirtyeight,-3,G000184
1970,1970-12-27,,PLAYOFF,OAK,MIA,21,14,False,,fivethirtyeight,7,G000185
1970,1971-01-03,,PLAYOFF,SF,DAL,10,17,False,,fivethirtyeight,-7,G000186
1970,1971-01-03,,PLAYOFF,IND,OAK,27,17,False,,fivethirtyeight,10,G000187
1970,1971-01-17,,PLAYOFF,DAL,IND,13,16,True,,fivethirtyeight,-3,G000188
1971,1971-09-19,,REG,ATL,SF,20,17,False,,fivethirtyeight,3,G000189
1971,1971-09-19,,REG,CHI,PIT,17,15,False,,fivethirtyeight,2,G000190
1971,1971-09-19,,REG,LAC,KC,21,14,False,,fivethirtyeight,7,G000191
