season,franchise,conference,division
1982,WSH,NFC,East
1982,ATL,NFC,West
1982,LAR,NFC,West
1982,NO,NFC,West
1982,SF,NFC,West
1983,CIN,AFC,Central
1983,CLE,AFC,Central
1983,PIT,AFC,Central
1983,TEN,AFC,Central
1983,BUF,AFC,East
1983,IND,AFC,East
1983,MIA,AFC,East
1983,NE,AFC,East
1983,NYJ,AFC,East
1983,DEN,AFC,West
1983,KC,AFC,West
1983,LAC,AFC,West
1983,OAK,AFC,West
1983,SEA,AFC,West
1983,CHI,NFC,Central
1983,DET,NFC,Central
1983,GB,NFC,Central
1983,MIN,NFC,Central
1983,TB,NFC,Central
1983,ARI,NFC,East
1983,DAL,NFC,East
1983,NYG,NFC,East
1983,PHI,NFC,East
1983,WSH,NFC,East
1983,ATL,NFC,West
1983,LAR,NFC,West
1983,NO,NFC,West
1983,SF,NFC,West
1984,CIN,AFC,Central
1984,CLE,AFC,Central
1984,PIT,AFC,Central
1984,TEN,AFC,Central
1984,BUF,AFC,East
1984,IND,AFC,East
1984,MIA,AFC,East
1984,NE,AFC,East
1984,NYJ,AFC,East
1984,DEN,AFC,West
1984,KC,AFC,West
1984,LAC,AFC,West
1984,OAK,AFC,West
1984,SEA,AFC,West
1984,CHI,NFC,Central
1984,DET,NFC,Central
1984,GB,NFC,Central
1984,MIN,NFC,Central
1984,TB,NFC,Central
1984,ARI,NFC,East
1984,DAL,NFC,East
1984,NYG,NFC,East
1984,PHI,NFC,East
1984,WSH,NFC,East
1984,ATL,NFC,West
1984,LAR,NFC,West
1984,NO,NFC,West
1984,SF,NFC,West
1985,CIN,AFC,Central
1985,CLE,AFC,Central
1985,PIT,AFC,Central
1985,TEN,AFC,Central
1985,BUF,AFC,East
1985,IND,AFC,East
1985,MIA,AFC,East
1985,NE,AFC,East
1985,NYJ,AFC,East
1985,DEN,AFC,West
1985,KC,AFC,West
1985,LAC,AFC,West
1985,OAK,AFC,West
1985,SEA,AFC,West
1985,CHI,NFC,Central
1985,DET,NFC,Central
1985,GB,NFC,Central
1985,MIN,NFC,Central
1985,TB,NFC,Central
1985,ARI,NFC,East
1985,DAL,NFC,East
1985,NYG,NFC,East
1985,PHI,NFC,East
1985,WSH,NFC,East
1985,ATL,NFC,West
1985,LAR,NFC,West
1985,NO,NFC,West
1985,SF,NFC,West
1986,CIN,AFC,Central
1986,CLE,AFC,Central
1986,PIT,AFC,Central
1986,TEN,AFC,Central
1986,BUF,AFC,East
1986,IND,AFC,East
1986,MIA,AFC,East
1986,NE,AFC,East
1986,NYJ,AFC,East
1986,DEN,AFC,West
1986,KC,AFC,West
1986,LAC,AFC,West
1986,OAK,AFC,West
1986,SEA,AFC,West
1986,CHI,NFC,Central
1986,DET,NFC,Central
1986,GB,NFC,Central
1986,MIN,NFC,Central
1986,TB,NFC,Central
1986,ARI,NFC,East
1986,DAL,NFC,East
1986,NYG,NFC,East
1986,PHI,NFC,East
1986,WSH,NFC,East
1986,ATL,NFC,West
1986,LAR,NFC,West
1986,NO,NFC,West
1986,SF,NFC,West
1987,CIN,AFC,Central
1987,CLE,AFC,Central
1987,PIT,AFC,Central
1987,TEN,AFC,Central
1987,BUF,AFC,East
1987,IND,AFC,East
1987,MIA,AFC,East
1987,NE,AFC,East
1987,NYJ,AFC,East
1987,DEN,AFC,West
1987,KC,AFC,West
1987,LAC,AFC,West
1987,OAK,AFC,West
1987,SEA,AFC,West
1987,CHI,NFC,Central
1987,DET,NFC,Central
1987,GB,NFC,Central
1987,MIN,NFC,Central
1987,TB,NFC,Central
1987,ARI,NFC,East
1987,DAL,NFC,East
1987,NYG,NFC,East
1987,PHI,NFC,East
1987,WSH,NFC,East
1987,ATL,NFC,West
1987,LAR,NFC,West
1987,NO,NFC,West
1987,SF,NFC,West
1988,CIN,AFC,Central
1988,CLE,AFC,Central
1988,PIT,AFC,Central
1988,TEN,AFC,Central
1988,BUF,AFC,East
1988,IND,AFC,East
1988,MIA,AFC,East
1988,NE,AFC,East
1988,NYJ,AFC,East
1988,DEN,AFC,West
1988,KC,AFC,West
1988,LAC,AFC,West
1988,OAK,AFC,West
1988,SEA,AFC,West
1988,CHI,NFC,Central
1988,DET,NFC,Central
1988,GB,NFC,Central
1988,MIN,NFC,Central
1988,TB,NFC,Central
1988,ARI,NFC,East
1988,DAL,NFC,East
1988,NYG,NFC,East
1988,PHI,NFC,East
1988,WSH,NFC,East
1988,ATL,NFC,West
1988,LAR,NFC,West
1988,NO,NFC,West
1988,SF,NFC,West
1989,CIN,AFC,Central
1989,CLE,AFC,Central
1989,PIT,AFC,Central
1989,TEN,AFC,Central
1989,BUF,AFC,East
1989,IND,AFC,East
1989,MIA,AFC,East
1989,NE,AFC,East
1989,NYJ,AFC,East
1989,DEN,AFC,West
1989,KC,AFC,West
1989,LAC,AFC,West
1989,OAK,AFC,West
1989,SEA,AFC,West
1989,CHI,NFC,Central
1989,DET,NFC,Central
1989,GB,NFC,Central
1989,MIN,NFC,Central
1989,TB,NFC,Central
1989,ARI,NFC,East
1989,DAL,NFC,East
1989,NYG,NFC,East
1989,PHI,NFC,East
1989,WSH,NFC,East
1989,ATL,NFC,West
1989,LAR,NFC,West
1989,NO,NFC,West
1989,SF,NFC,West
1990,CIN,AFC,Central
1990,CLE,AFC,Central
1990,PIT,AFC,Central
1990,TEN,AFC,Central
1990,BUF,AFC,East
1990,IND,AFC,East
1990,MIA,AFC,East
1990,NE,AFC,East
1990,NYJ,AFC,East
1990,DEN,AFC,West
1990,KC,AFC,West
1990,LAC,AFC,West
1990,OAK,AFC,West
1990,SEA,AFC,West
1990,CHI,NFC,Central
1990,DET,NFC,Central
1990,GB,NFC,Central
1990,MIN,NFC,Central
1990,TB,NFC,Central
1990,ARI,NFC,East
1990,DAL,NFC,East
1990,NYG,NFC,East
1990,PHI,NFC,East
1990,WSH,NFC,East
1990,ATL,NFC,West
1990,LAR,NFC,West
1990,NO,NFC,West
1990,SF,NFC,West
1991,CIN,AFC,Central
1991,CLE,AFC,Central
1991,PIT,AFC,Central
1991,TEN,AFC,Central
1991,BUF,AFC,East
1991,IND,AFC,East
1991,MIA,AFC,East
1991,NE,AFC,East
1991,NYJ,AFC,East
1991,DEN,AFC,West
1991,KC,AFC,West
1991,LAC,AFC,West
1991,OAK,AFC,West
1991,SEA,AFC,West
1991,CHI,NFC,Central
1991,DET,NFC,Central
1991,GB,NFC,Central
1991,MIN,NFC,Central
1991,TB,NFC,Central
1991,ARI,NFC,East
1991,DAL,NFC,East
1991,NYG,NFC,East
1991,PHI,NFC,East
1991,WSH,NFC,East
1991,ATL,NFC,West
1991,LAR,NFC,West
1991,NO,NFC,West
1991,SF,NFC,West
1992,CIN,AFC,Central
1992,CLE,AFC,Central
1992,PIT,AFC,Central
1992,TEN,AFC,Central
1992,BUF,AFC,East
1992,IND,AFC,East
1992,MIA,AFC,East
1992,NE,AFC,East
1992,NYJ,AFC,East
1992,DEN,AFC,West
1992,KC,AFC,West
1992,LAC,AFC,West
1992,OAK,AFC,West
1992,SEA,AFC,West
1992,CHI,NFC,Central
1992,DET,NFC,Central
1992,GB,NFC,Central
1992,MIN,NFC,Central
1992,TB,NFC,Central
1992,ARI,NFC,East
1992,DAL,NFC,East
1992,NYG,NFC,East
1992,PHI,NFC,East
1992,WSH,NFC,East
1992,ATL,NFC,West
1992,LAR,NFC,West
1992,NO,NFC,West
1992,SF,NFC,West
1993,CIN,AFC,Central
1993,CLE,AFC,Central
1993,PIT,AFC,Central
1993,TEN,AFC,Central
1993,BUF,AFC,East
1993,IND,AFC,East
1993,MIA,AFC,East
1993,NE,AFC,East
1993,NYJ,AFC,East
1993,DEN,AFC,West
1993,KC,AFC,West
1993,LAC,AFC,West
1993,OAK,AFC,West
1993,SEA,AFC,West
1993,CHI,NFC,Central
1993,DET,NFC,Central
1993,GB,NFC,Central
1993,MIN,NFC,Central
1993,TB,NFC,Central
1993,ARI,NFC,East
1993,DAL,NFC,East
1993,NYG,NFC,East
1993,PHI,NFC,East
1993,WSH,NFC,East
1993,ATL,NFC,West
1993,LAR,NFC,West
1993,NO,NFC,West
1993,SF,NFC,West
1994,CIN,AFC,Central
1994,CLE,AFC,Central
1994,PIT,AFC,Central
1994,TEN,AFC,Central
1994,BUF,AFC,East
1994,IND,AFC,East
1994,MIA,AFC,East
1994,NE,AFC,East
1994,NYJ,AFC,East
1994,DEN,AFC,West
1994,KC,AFC,West
1994,LAC,AFC,West
1994,OAK,AFC,West
1994,SEA,AFC,West
1994,CHI,NFC,Central
1994,DET,NFC,Central
1994,GB,NFC,Central
1994,MIN,NFC,Central
1994,TB,NFC,Central
1994,ARI,NFC,East
1994,DAL,NFC,East
1994,NYG,NFC,East
1994,PHI,NFC,East
1994,WSH,NFC,East
1994,ATL,NFC,West
1994,LAR,NFC,West
1994,NO,NFC,West
1994,SF,NFC,West
1995,CIN,AFC,Central
1995,CLE,AFC,Central
1995,JAX,AFC,Central
1995,PIT,AFC,Central
1995,TEN,AFC,Central
1995,BUF,AFC,East
1995,IND,AFC,East
1995,MIA,AFC,East
1995,NE,AFC,East
1995,NYJ,AFC,East
1995,DEN,AFC,West
1995,KC,AFC,West
1995,LAC,AFC,West
1995,OAK,AFC,West
1995,SEA,AFC,West
1995,CHI,NFC,Central
1995,DET,NFC,Central
1995,GB,NFC,Central
1995,MIN,NFC,Central
1995,TB,NFC,Central
1995,ARI,NFC,East
1995,DAL,NFC,East
1995,NYG,NFC,East
1995,PHI,NFC,East
1995,WSH,NFC,East
1995,ATL,NFC,West
1995,CAR,NFC,West
1995,LAR,NFC,West
1995,NO,NFC,West
1995,SF,NFC,West
1996,BAL,AFC,Central
1996,CIN,AFC,Central
1996,JAX,AFC,Central
1996,PIT,AFC,Central
1996,TEN,AFC,Central
1996,BUF,AFC,East
1996,IND,AFC,East
1996,MIA,AFC,East
1996,NE,AFC,East
1996,NYJ,AFC,East
1996,DEN,AFC,West
1996,KC,AFC,West
1996,LAC,AFC,West
1996,OAK,AFC,West
1996,SEA,AFC,West
1996,CHI,NFC,Central
1996,DET,NFC,Central
1996,GB,NFC,Central
1996,MIN,NFC,Central
1996,TB,NFC,Central
1996,ARI,NFC,East
1996,DAL,NFC,East
1996,NYG,NFC,East
1996,PHI,NFC,East
1996,WSH,NFC,East
1996,ATL,NFC,West
1996,CAR,NFC,West
1996,LAR,NFC,West
1996,NO,NFC,West
1996,SF,NFC,West
1997,BAL,AFC,Central
1997,CIN,AFC,Central
1997,JAX,AFC,Central
1997,PIT,AFC,Central
1997,TEN,AFC,Central
1997,BUF,AFC,East
1997,IND,AFC,East
1997,MIA,AFC,East
1997,NE,AFC,East
1997,NYJ,AFC,East
1997,DEN,AFC,West
1997,KC,AFC,West
1997,LAC,AFC,West
1997,OAK,AFC,West
1997,SEA,AFC,West
1997,CHI,NFC,Central
1997,DET,NFC,Central
1997,GB,NFC,Central
1997,MIN,NFC,Central
1997,TB,NFC,Central
1997,ARI,NFC,East
1997,DAL,NFC,East
1997,NYG,NFC,East
1997,PHI,NFC,East
1997,WSH,NFC,East
1997,ATL,NFC,West
1997,CAR,NFC,West
1997,LAR,NFC,West
1997,NO,NFC,West
1997,SF,NFC,West
1998,BAL,AFC,Central
1998,CIN,AFC,Central
1998,JAX,AFC,Central
1998,PIT,AFC,Central
1998,TEN,AFC,Central
1998,BUF,AFC,East
1998,IND,AFC,East
1998,MIA,AFC,East
1998,NE,AFC,East
1998,NYJ,AFC,East
1998,DEN,AFC,West
1998,KC,AFC,West
1998,LAC,AFC,West
1998,OAK,AFC,West
1998,SEA,AFC,West
1998,CHI,NFC,Central
1998,DET,NFC,Central
1998,GB,NFC,Central
1998,MIN,NFC,Central
1998,TB,NFC,Central
1998,ARI,NFC,East
1998,DAL,NFC,East
1998,NYG,NFC,East
1998,PHI,NFC,East
1998,WSH,NFC,East
1998,ATL,NFC,West
1998,CAR,NFC,West
1998,LAR,NFC,West
1998,NO,NFC,West
1998,SF,NFC,West
1999,BAL,AFC,Central
1999,CIN,AFC,Central
1999,CLE,AFC,Central
1999,JAX,AFC,Central
1999,PIT,AFC,Central
1999,TEN,AFC,Central
1999,BUF,AFC,East
1999,IND,AFC,East
1999,MIA,AFC,East
1999,NE,AFC,East
1999,NYJ,AFC,East
1999,DEN,AFC,West
1999,KC,AFC,West
1999,LAC,AFC,West
1999,OAK,AFC,West
1999,SEA,AFC,West
1999,CHI,NFC,Central
1999,DET,NFC,Central
1999,GB,NFC,Central
1999,MIN,NFC,Central
1999,TB,NFC,Central
1999,ARI,NFC,East
1999,DAL,NFC,East
1999,NYG,NFC,East
1999,PHI,NFC,East
1999,WSH,NFC,East
1999,ATL,NFC,West
1999,CAR,NFC,West
1999,LAR,NFC,West
1999,NO,NFC,West
1999,SF,NFC,West
2000,BAL,AFC,Central
2000,CIN,AFC,Central
2000,CLE,AFC,Central
2000,JAX,AFC,Central
2000,PIT,AFC,Central
2000,TEN,AFC,Central
2000,BUF,AFC,East
2000,IND,AFC,East
2000,MIA,AFC,East
2000,NE,AFC,East
2000,NYJ,AFC,East
2000,DEN,AFC,West
2000,KC,AFC,West
2000,LAC,AFC,West
2000,OAK,AFC,West
2000,SEA,AFC,West
2000,CHI,NFC,Central
2000,DET,NFC,Central
2000,GB,NFC,Central
2000,MIN,NFC,Central
2000,TB,NFC,Central
2000,ARI,NFC,East
2000,DAL,NFC,East
2000,NYG,NFC,East
2000,PHI,NFC,East
2000,WSH,NFC,East
2000,ATL,NFC,West
2000,CAR,NFC,West
2000,LAR,NFC,West
2000,NO,NFC,West
2000,SF,NFC,West
2001,BAL,AFC,Central
2001,CIN,AFC,Central
2001,CLE,AFC,Central
2001,JAX,AFC,Central
2001,PIT,AFC,Central
2001,TEN,AFC,Central
2001,BUF,AFC,East
2001,IND,AFC,East
2001,MIA,AFC,East
2001,NE,AFC,East
2001,NYJ,AFC,East
2001,DEN,AFC,West
2001,KC,AFC,West
2001,LAC,AFC,West
2001,OAK,AFC,West
2001,SEA,AFC,West
2001,CHI,NFC,Central
2001,DET,NFC,Central
2001,GB,NFC,Central
2001,MIN,NFC,Central
2001,TB,NFC,Central
2001,ARI,NFC,East
2001,DAL,NFC,East
2001,NYG,NFC,East
2001,PHI,NFC,East
2001,WSH,NFC,East
2001,ATL,NFC,West
2001,CAR,NFC,West
2001,LAR,NFC,West
2001,NO,NFC,West
2001,SF,NFC,West
2002,BUF,AFC,East
2002,MIA,AFC,East
2002,NE,AFC,East
2002,NYJ,AFC,East
2002,BAL,AFC,North
2002,CIN,AFC,North
2002,CLE,AFC,North
2002,PIT,AFC,North
2002,HOU,AFC,South
2002,IND,AFC,South
2002,JAX,AFC,South
2002,TEN,AFC,South
2002,DEN,AFC,West
2002,KC,AFC,West
2002,LAC,AFC,West
2002,OAK,AFC,West
2002,DAL,NFC,East
2002,NYG,NFC,East
2002,PHI,NFC,East
2002,WSH,NFC,East
2002,CHI,NFC,North
2002,DET,NFC,North
2002,GB,NFC,North
2002,MIN,NFC,North
2002,ATL,NFC,South
2002,CAR,NFC,South
2002,NO,NFC,South
2002,TB,NFC,South
2002,ARI,NFC,West
2002,LAR,NFC,West
2002,SEA,NFC,West
2002,SF,NFC,West
2003,BUF,AFC,East
2003,MIA,AFC,East
2003,NE,AFC,East
2003,NYJ,AFC,East
2003,BAL,AFC,North
2003,CIN,AFC,North
2003,CLE,AFC,North
2003,PIT,AFC,North
2003,HOU,AFC,South
2003,IND,AFC,South
2003,JAX,AFC,South
2003,TEN,AFC,South
2003,DEN,AFC,West
2003,KC,AFC,West
2003,LAC,AFC,West
2003,OAK,AFC,West
2003,DAL,NFC,East
2003,NYG,NFC,East
2003,PHI,NFC,East
2003,WSH,NFC,East
2003,CHI,NFC,North
2003,DET,NFC,North
2003,GB,NFC,North
2003,MIN,NFC,North
2003,ATL,NFC,South
2003,CAR,NFC,South
2003,NO,NFC,South
2003,TB,NFC,South
2003,ARI,NFC,West
2003,LAR,NFC,West
2003,SEA,NFC,West
2003,SF,NFC,West
2004,BUF,AFC,East
2004,MIA,AFC,East
2004,NE,AFC,East
2004,NYJ,AFC,East
2004,BAL,AFC,North
2004,CIN,AFC,North
2004,CLE,AFC,North
2004,PIT,AFC,North
2004,HOU,AFC,South
2004,IND,AFC,South
2004,JAX,AFC,South
2004,TEN,AFC,South
2004,DEN,AFC,West
2004,KC,AFC,West
2004,LAC,AFC,West
2004,OAK,AFC,West
2004,DAL,NFC,East
2004,NYG,NFC,East
2004,PHI,NFC,East
2004,WSH,NFC,East
2004,CHI,NFC,North
2004,DET,NFC,North
2004,GB,NFC,North
2004,MIN,NFC,North
2004,ATL,NFC,South
2004,CAR,NFC,South
2004,NO,NFC,South
2004,TB,NFC,South
2004,ARI,NFC,West
2004,LAR,NFC,West
2004,SEA,NFC,West
2004,SF,NFC,West
2005,BUF,AFC,East
2005,MIA,AFC,East
2005,NE,AFC,East
2005,NYJ,AFC,East
2005,BAL,AFC,North
2005,CIN,AFC,North
2005,CLE,AFC,North
2005,PIT,AFC,North
2005,HOU,AFC,South
2005,IND,AFC,South
2005,JAX,AFC,South
2005,TEN,AFC,South
2005,DEN,AFC,West
2005,KC,AFC,West
2005,LAC,AFC,West
2005,OAK,AFC,West
2005,DAL,NFC,East
2005,NYG,NFC,East
2005,PHI,NFC,East
2005,WSH,NFC,East
2005,CHI,NFC,North
2005,DET,NFC,North
2005,GB,NFC,North
2005,MIN,NFC,North
2005,ATL,NFC,South
2005,CAR,NFC,South
2005,NO,NFC,South
2005,TB,NFC,South
2005,ARI,NFC,West
2005,LAR,NFC,West
2005,SEA,NFC,West
2005,SF,NFC,West
2006,BUF,AFC,East
2006,MIA,AFC,East
2006,NE,AFC,East
2006,NYJ,AFC,East
2006,BAL,AFC,North
2006,CIN,AFC,North
2006,CLE,AFC,North
2006,PIT,AFC,North
2006,HOU,AFC,South
2006,IND,AFC,South
2006,JAX,AFC,South
2006,TEN,AFC,South
2006,DEN,AFC,West
2006,KC,AFC,West
2006,LAC,AFC,West
2006,OAK,AFC,West
2006,DAL,NFC,East
2006,NYG,NFC,East
2006,PHI,NFC,East
2006,WSH,NFC,East
2006,CHI,NFC,North
2006,DET,NFC,North
2006,GB,NFC,North
2006,MIN,NFC,North
2006,ATL,NFC,South
2006,CAR,NFC,South
2006,NO,NFC,South
2006,TB,NFC,South
2006,ARI,NFC,West
2006,LAR,NFC,West
2006,SEA,NFC,West
2006,SF,NFC,West
2007,BUF,AFC,East
2007,MIA,AFC,East
2007,NE,AFC,East
2007,NYJ,AFC,East
2007,BAL,AFC,North
2007,CIN,AFC,North
2007,CLE,AFC,North
2007,PIT,AFC,North
2007,HOU,AFC,South
