season,team_games,plays,pass_plays,drives,explosive_20_10,explosive_20_10_ng,def_plays_made,turnovers,drive_plays_total,drive_seconds_total,explosive_rate_per_play,explosive_rate_per_play_ng,explosive_rate_per_drive,plays_per_drive,seconds_per_drive,pass_rate,def_play_rate_per_snap,turnovers_per_game
2011,512,32117,18508,6131,3238,2761,3174,808.0,33793.0,931568.0,0.10081888096646635,0.08596693339975714,0.5281357038003588,5.511825150872615,151.94389169792856,0.576268020051686,0.09882616682753682,3.15625
2012,512,32493,18922,6072,3149,2604,3186,794.0,34073.0,935514.0,0.09691318130058782,0.08014033791893639,0.5186100131752306,5.611495388669302,154.0701581027668,0.5823408118671713,0.09805188809897517,3.1015625
2013,512,32919,19424,6221,3134,2674,3273,811.0,34493.0,934353.0,0.09520337798839576,0.08122968498435554,0.503777527728661,5.544606976370359,150.19337727053528,0.5900543758923418,0.09942586348309487,3.16796875
2014,512,32378,19057,5980,3130,2563,3167,753.0,33958.0,930666.0,0.09667057878806597,0.07915868799802335,0.5234113712374582,5.678595317725753,155.62976588628763,0.588578664525295,0.09781333003891532,2.94140625
2015,512,32594,19504,6029,3166,2670,3193,742.0,34054.0,932547.0,0.0971344419218261,0.08191691722402897,0.5251285453640736,5.648366229888871,154.6768950074639,0.5983923421488617,0.0979628152420691,2.8984375
2016,512,32391,19421,5910,3063,2665,3026,695.0,33895.0,932816.0,0.09456330462165416,0.08227594084776635,0.5182741116751269,5.735194585448393,157.83688663282572,0.5995801302831033,0.09342101200950881,2.71484375
2017,512,32068,18688,5954,3009,2553,3244,702.0,33597.0,929944.0,0.09383185730323064,0.0796120743420232,0.5053745381256298,5.642761168962043,156.18810883439704,0.5827616315329924,0.10116003492578271,2.7421875
2018,512,31880,18972,5792,3282,2775,3098,694.0,33349.0,933461.0,0.10294855708908407,0.08704516938519448,0.5666436464088398,5.757769337016574,161.16384668508286,0.5951066499372647,0.09717691342534504,2.7109375
2019,512,32156,19137,5790,3200,2725,3065,710.0,33600.0,927070.0,0.0995148650329643,0.08474312725463366,0.5526770293609672,5.803108808290156,160.11571675302244,0.5951299912924493,0.09531658166438611,2.7734375
2020,512,32575,19161,5626,3231,2729,2786,665.0,34016.0,929022.0,0.09918649270913277,0.08377590176515733,0.5742979025950942,6.046214006398863,165.13011020263065,0.5882118188795088,0.08552570990023024,2.59765625
2021,544,34139,19997,5927,3285,2792,2992,705.0,35563.0,989910.0,0.09622425964439497,0.08178329769471865,0.5542432934030707,6.000168719419605,167.01704066138012,0.5857523653299745,0.08764170010838045,2.5919117647058822
2022,542,33770,19393,5947,3292,2883,3145,709.0,35234.0,984822.0,0.09748297305300563,0.08537163162570328,0.5535564149991592,5.924667899781403,165.5997982175887,0.5742671009771987,0.09312999703879182,2.6162361623616235
2023,544,33957,19735,6046,3248,2792,3323,731.0,35418.0,984172.0,0.09565038136466708,0.0822216332420414,0.5372146873966259,5.858087992060867,162.7806814422759,0.5811761934210914,0.09785905704273051,2.6875
2024,544,33470,19153,5866,3294,2819,3138,656.0,34948.0,985175.0,0.09841649238123693,0.08422467881685092,0.5615410842141152,5.957722468462325,167.94664166382543,0.572243800418285,0.09375560203167015,2.411764705882353
2025,544,32941,18741,5740,3146,2680,3017,624.0,34457.0,985662.0,0.09550408305758781,0.08135757870131446,0.5480836236933798,6.002961672473868,171.71811846689894,0.5689262621049755,0.09158799064994991,2.2941176470588234
