season,definition,n_games,epd_only_b0,epd_only_b_epd,epd_only_se_b_epd,epd_only_b_epd_raw,epd_only_se_b_epd_raw,epd_only_log_loss,epd_only_accuracy,epd_only_converged,tod_only_b0,tod_only_b_tod,tod_only_se_b_tod,tod_only_b_tod_raw,tod_only_se_b_tod_raw,tod_only_log_loss,tod_only_accuracy,tod_only_converged,both_b0,both_b_epd,both_b_tod,both_se_b_epd,both_se_b_tod,both_b_epd_raw,both_se_b_epd_raw,both_b_tod_raw,both_se_b_tod_raw,both_log_loss,both_accuracy,both_converged
2025,explosive_20_10_ng,271,0.1867914333037953,1.0116242441686099,0.1633250520366261,0.30641767965953104,0.04947062485287165,0.5962953928406366,0.6900369003690037,True,0.2388707743656211,-1.468359198033638,0.19745566556387095,-0.82700706159806,0.11121068332091129,0.5311374127252727,0.7158671586715867,True,0.24715305727833653,1.1315477215538994,-1.5818020549883347,0.1913775172639658,0.22130456547535485,0.34274210929723953,0.05796762495270164,-0.8909001770666932,0.12464282490081556,0.4431696861057095,0.7896678966789668,True
1999,explosive_25_15,247,0.4076664600794686,0.5126455481329464,0.14025860000077953,0.22429400254904788,0.06136630445865552,0.645642009853498,0.6396761133603239,True,0.5272200145236358,-1.4707369785783504,0.20681393913518037,-0.6615605232218348,0.0930281483206413,0.5150220828736711,0.7368421052631579,True,0.5713315301792006,0.6670587621529998,-1.548488818510652,0.16859467738410425,0.21612476513300807,0.2918532702441587,0.07376397812614874,-0.6965345183387553,0.09721630365260585,0.4797413708117324,0.7773279352226721,True
2000,explosive_25_15,246,0.24678290109403417,0.800909531657581,0.15621490030606655,0.32014043346106935,0.062442390707423044,0.6232908744544382,0.6260162601626016,True,0.3069318645047953,-1.5829365258567907,0.21054259384895996,-0.7150934896750812,0.09511287136368544,0.5037103791739702,0.7560975609756098,True,0.349225551954772,1.0228302098498128,-1.707240755673799,0.20239426000906074,0.23171334357928472,0.4088468095275366,0.08090125484614061,-0.7712480758061361,0.10467678315446395,0.43784490796762343,0.7926829268292683,True
2001,explosive_25_15,248,0.22305385063489436,0.8772674862577824,0.15930385537242603,0.3546014007854101,0.06439241297605713,0.6127759827143073,0.6330645161290323,True,0.23911061150902777,-1.1212954238719954,0.17534246506028706,-0.5172694126119807,0.08088795510684743,0.5764246618792719,0.6814516129032258,True,0.2826508470110946,0.9345103982960439,-1.188119957509241,0.18153485385380175,0.19488827573056114,0.37773963070020133,0.07337843300511554,-0.5480965135942045,0.0899047135713784,0.5099227917534082,0.7580645161290323,True
2002,explosive_25_15,255,0.4037469861216891,1.1057906880299482,0.17487946432637239,0.4445601557796807,0.07030665273742445,0.5744199628057531,0.7019607843137254,True,0.44689078002604765,-1.6805391057938417,0.21601020530588497,-0.7942227804098034,0.10208642290052035,0.48267428536585455,0.7764705882352941,True,0.5564080789183805,1.1281136452102625,-1.7158437377567637,0.21476100196194695,0.2406358971300197,0.4535346366004804,0.08634019577221988,-0.8109077494547168,0.11372452484212345,0.4115555410314277,0.8235294117647058,True
2003,explosive_25_15,256,0.5278925199922424,0.8092725821853836,0.1584224006860489,0.3212313200014947,0.06288392565179916,0.604997001693964,0.65234375,True,0.6822501210753279,-1.8173534978666162,0.23697178804959304,-0.8333077141307195,0.10865823255898505,0.46299680136861765,0.7890625,True,0.7137946643640448,0.8962060613140851,-1.898800881345401,0.19789340996857888,0.25725248829498026,0.35573855139369587,0.07855148277992864,-0.8706536311624403,0.11795750426495358,0.4134014372699041,0.80859375,True
2004,explosive_25_15,256,0.31932916411544454,0.9755209941415424,0.1640925185752028,0.39620457794561303,0.06664562572877618,0.595434239711425,0.69140625,True,0.3966384897016439,-1.733145642981497,0.2306114069752819,-0.8194224433356673,0.10903190007718172,0.49142896371905964,0.73046875,True,0.4463615013652987,1.1788031307642073,-1.94500387250202,0.20616668627915877,0.2690734215112295,0.47876693552495114,0.08373390774184386,-0.9195879365113201,0.12721654489009002,0.4063052688350999,0.796875,True
2005,explosive_25_15,256,0.4178655013653927,0.7889951062784563,0.15349963106789044,0.35498394832729196,0.06906241200947517,0.6150024926169096,0.6484375,True,0.5520759610796893,-1.7148335562883483,0.2391437742042826,-0.8158731737218867,0.11377838351739748,0.4978270462882035,0.74609375,True,0.6233417530126228,0.7066803892790793,-1.676634370290921,0.1826463430833121,0.24670897376205264,0.3179489870032481,0.0821760737161947,-0.7976989952431486,0.11737770856582766,0.46430444803064314,0.7734375,True
2006,explosive_25_15,256,0.13309143987121713,0.6748763834894235,0.14516380677945329,0.271000931211091,0.05829145570626601,0.6424271554062508,0.63671875,True,0.2265531907929941,-1.9061891143772733,0.23713084501156823,-0.8970544217567755,0.11159400263495915,0.4636430698315042,0.80078125,True,0.18917943433509038,0.6983162774620953,-1.8654209851958594,0.18096357227661025,0.23780369668863335,0.280413370658504,0.07266708067139752,-0.8778689011423185,0.11191064727821372,0.4318527964471536,0.8203125,True
2007,explosive_25_15,256,0.3886906612853825,1.0760593381128905,0.17499168838659365,0.45208626659009304,0.07351949496180332,0.5826967255102737,0.69140625,True,0.40470032697302344,-1.6710868106334824,0.22717795783888142,-0.7938321926294234,0.10791849665784237,0.4996426903032877,0.7734375,True,0.5143141709263876,0.9746055191576619,-1.6092311602470892,0.19980785397876638,0.24216026810904617,0.40946233627486295,0.08394554421046464,-0.7644483172614314,0.11503568538600341,0.4413735309406377,0.7890625,True
2008,explosive_25_15,255,0.37069418862793296,1.158629265963991,0.1829263281523636,0.44440148868877144,0.07016285099931836,0.5720062891865545,0.6941176470588235,True,0.39717188695876515,-1.29948587432932,0.19106182612611775,-0.6537185561567698,0.096115443483604,0.549213849310335,0.7176470588235294,True,0.4633444481359721,1.2221854343585683,-1.3094558654413762,0.20926227089517777,0.20509364182185416,0.46877896358917004,0.0802642117233557,-0.6587340536880785,0.10317427996507705,0.4569223222309182,0.792156862745098,True
2009,explosive_25_15,256,0.369633551725509,1.1230132449549242,0.17396736732166806,0.4047877894139452,0.06270617587518156,0.5734651089114969,0.6953125,True,0.38959873441839354,-1.5068376375767205,0.20551070663152984,-0.7462566218327809,0.10177853396863047,0.5173272060611978,0.73046875,True,0.46095112019106754,1.0293667141203267,-1.446396501454337,0.19804642664719968,0.222084825967895,0.37103309206454477,0.07138542274901555,-0.7163233384201353,0.10998681467344495,0.4521410551601875,0.76171875,True
2010,explosive_25_15,256,0.26917096450650585,0.7775290804110516,0.15005849046740077,0.30626888472226427,0.0591080741240712,0.6240824966636956,0.66015625,True,0.31932219350194985,-1.7009741787277104,0.22404518400793394,-0.7944371273927412,0.10463992611726383,0.4945662361993593,0.77734375,True,0.3783661289159468,0.8781907868357764,-1.7588916675146167,0.1813451843444178,0.23790406000855382,0.345919554179723,0.07143191008310075,-0.8214873930540852,0.11111269082851882,0.43985131670972527,0.796875,True
2011,explosive_25_15,256,0.28595519124193164,0.6533349058135864,0.14321722394427935,0.26961858867140626,0.0591029584516198,0.6379970194555673,0.640625,True,0.4384896268110678,-1.6053087850488934,0.22105558821137913,-0.8553335149537117,0.11778185918246278,0.5146683195011135,0.72265625,True,0.4994768951692061,0.7583071309541218,-1.6879304666671053,0.1782558709235599,0.23790237610316245,0.3129385811289403,0.0735627255074531,-0.8993556333200167,0.12675809007172423,0.47352253469046823,0.76171875,True
2012,explosive_25_15,255,0.3651418976680219,0.9650256054633407,0.170070985281776,0.3614611650521996,0.06370199519422132,0.6003775226620539,0.6862745098039216,True,0.40623234079816084,-1.6582009635691326,0.22472669149596258,-0.7899587604626724,0.10705868743129984,0.5025292868575916,0.7725490196078432,True,0.46886523994153245,1.000763678305168,-1.6309538264621546,0.2043814058407434,0.2324466792416215,0.37484726110291006,0.07655334806865695,-0.7769783587332849,0.11073645151679483,0.44462330035696546,0.792156862745098,True
2013,explosive_25_15,255,0.4371449998935704,0.5845648578780566,0.14657131483466482,0.2338835713937882,0.05864297539515429,0.6374999540231773,0.6392156862745098,True,0.5869850371981873,-1.7160382651652826,0.2348141641563222,-0.8870022159506121,0.12137298344171116,0.4892011124317958,0.7568627450980392,True,0.6802947259696724,0.8224634923040276,-1.7951689793311372,0.18537538941612572,0.24386694529166122,0.3290664779599202,0.07416843065547755,-0.9279040537707071,0.12605227124697943,0.44316853207544865,0.792156862745098,True
2014,explosive_25_15,255,0.3529997626929168,1.1285623235390456,0.17436214953151397,0.44901196184594383,0.06937205788273174,0.5722746654713159,0.6941176470588235,True,0.3818743824415969,-1.4150631264903877,0.1963341323859965,-0.7436877495220664,0.10318358689102697,0.5297696222814551,0.7294117647058823,True,0.5131117570440018,1.1492211403228654,-1.4569027398485546,0.1981548220314708,0.22246555124958864,0.45723131815444623,0.07883825601281139,-0.7656765974516855,0.11691697851340793,0.44346980051493623,0.7647058823529411,True
2015,explosive_25_15,256,0.19290325390567725,0.9072787749069884,0.15814173357714187,0.3714925452101272,0.0647523966561843,0.6097413478042406,0.67578125,True,0.2033657364157624,-1.2915891456525816,0.18715663493681303,-0.681712695588712,0.09878300272926445,0.5540612997108362,0.71484375,True,0.21289700365414768,1.0364992419231964,-1.4263047337968489,0.18333732762210175,0.21101242949369098,0.4244028981388769,0.07506893399698435,-0.7528168288502577,0.1113743117128677,0.4752355354684611,0.78515625,True
2016,explosive_25_15,254,0.3547392406500312,0.7594389847637786,0.15575593384198158,0.3122574058298063,0.06404193729825997,0.6239067607150077,0.6338582677165354,True,0.44975097530112773,-1.5234816633008428,0.20613755551786642,-0.7845641430813911,0.10615692889362398,0.5134484689422926,0.7480314960629921,True,0.4735549674192318,0.7476058958587791,-1.5233366040375949,0.18110592466908196,0.21646470389503483,0.30739201213978146,0.07446505558990509,-0.7844894403138373,0.11147521431325462,0.47351125790092474,0.7755905511811023,True
2017,explosive_25_15,256,0.32519355650398724,0.9564176805159176,0.16454805532203368,0.39979057819698666,0.06878246138538499,0.5995245005617647,0.69921875,True,0.38677686161458635,-1.6302883932547456,0.2210216279411004,-0.8757816369378244,0.11873155934728742,0.504835359054233,0.7421875,True,0.4526130994056247,1.263920165080309,-1.894440124579571,0.21647681955538392,0.26406139867937983,0.5283291849223377,0.09048911852989455,-1.0176824421062676,0.1418522789859441,0.41192665413136925,0.80078125,True
2018,explosive_25_15,254,0.5053383912504182,1.0457715061258388,0.1696790805135547,0.41505069969111297,0.0673430292158115,0.5740352712660336,0.7047244094488189,True,0.6019212227333083,-1.502956007937775,0.21405463272904285,-0.8449206611863935,0.1203356457941791,0.5151757066763143,0.7480314960629921,True,0.7549979037517676,1.1897288194192213,-1.646934116333135,0.20319060955335935,0.24795937269125035,0.47218515330557337,0.0806432420196745,-0.9258612062850431,0.13939596103622517,0.4260545964564939,0.7874015748031497,True
2019,explosive_25_15,255,0.05823689285057802,1.1059316703326993,0.17199997324020205,0.4001704397045108,0.06223648961964324,0.5825859525075636,0.6666666666666666,True,0.07731280172453854,-1.4394525904693558,0.20346716360390835,-0.7846180907552404,0.11090606143980629,0.5387819317470905,0.7254901960784313,True,0.09251350949261872,1.128519178545867,-1.4303921257028982,0.19848186094401654,0.21753846034582022,0.4083435062112087,0.0718186988382769,-0.7796794046092137,0.11857605630951532,0.45350613165694337,0.7764705882352941,True
2020,explosive_25_15,255,-0.019640883666960027,1.084601914519885,0.17495465468411048,0.4400634485656229,0.07098562859994455,0.5898770175867719,0.6784313725490196,True,0.02735919754955325,-1.5517468195201238,0.21192282325359027,-0.9001078540026725,0.12292817053233407,0.5226542243841121,0.7607843137254902,True,-0.02937099905517005,1.3971296879746447,-1.8637046392942445,0.222990515616966,0.25888045538673143,0.566867622445325,0.09047556894943073,-1.081062427367335,0.150166462859867,0.40681721149864253,0.8117647058823529,True
2021,explosive_25_15,271,0.07473760739780182,0.7370305068311913,0.14409358087002244,0.3054348873513384,0.059714226525451754,0.6357445290594516,0.5867158671586716,True,0.08504416959938696,-1.497532330036582,0.198815317824116,-0.82703954254019,0.10979938543244852,0.526103434466621,0.7158671586715867,True,0.1194778738467287,0.6940106049134981,-1.4429595088780456,0.16990691307616032,0.2021191165568187,0.2876068886805781,0.07041160219914311,-0.7969007067095265,0.11162396854009506,0.49169584020538415,0.7527675276752768,True
2022,explosive_25_15,269,0.2855315320045408,0.7842248046478343,0.1510131206348398,0.31488495866542576,0.06063536879631368,0.6247465635099012,0.6319702602230484,True,0.344870069632597,-1.4000139771789344,0.19324482134253906,-0.8369716449222492,0.11552772945716042,0.5364170998390773,0.7360594795539034,True,0.41977137231371714,0.8843014843667597,-1.4976675358666345,0.17917490822654597,0.21287241857933348,0.35506813187022895,0.07194299802354917,-0.895351961818835,0.12726171398369604,0.480704828232323,0.7732342007434945,True
