season,n_games,points_per_explosive,points_per_explosive_se,points_per_turnover,points_per_turnover_se,exchange_ratio_turnover_to_explosive,exchange_ratio_se,r2_epd_only,r2_tod_only,r2_both,points_per_explosive_alone,points_per_explosive_alone_se,points_per_turnover_alone,points_per_turnover_alone_se
2012,256,1.5859470196569547,0.16140220569058195,-4.457116982204101,0.3051944022499156,-2.8103820158936896,0.3664632324384963,0.2358365214648105,0.42714026949430983,0.5853727772251098,1.9169927216939382,0.21651660779123394,-4.878286365404925,0.35447802791821525
2013,256,1.5406417076049872,0.17143733454643426,-4.242360124079284,0.325940971836383,-2.753631881532188,0.37323484801279005,0.1624819152873348,0.3382497360137664,0.49837256363047544,1.5519294816101938,0.22108012782575037,-4.257177439470703,0.3736226720880958
2014,256,1.644313125237947,0.1856941033772897,-4.070893933073262,0.3772632272741781,-2.475741311427023,0.39424052342562854,0.25118410695144033,0.3282607613149442,0.48719139177699167,2.028766708039931,0.21978937770069873,-4.711854591567157,0.42292746959746963
2015,256,1.8504468226081434,0.17654234932146018,-3.940640018608113,0.323645691462091,-2.1295613418676425,0.2782882706504146,0.24698746555198847,0.31902470818561945,0.5252029744023583,2.0190736384103616,0.22120704085239448,-4.206760525062912,0.3856421086383184
2016,256,1.4863446621964163,0.15993208387538344,-3.8616891681161456,0.2852151242082074,-2.5981115055841832,0.35151447942184844,0.1989749893331053,0.37696018871171755,0.5355257813939668,1.6596586607500854,0.20894198266918546,-4.073842455847304,0.3286226758660522
2017,256,1.6498142641395719,0.1665776788919309,-4.402332129204615,0.33284843034182177,-2.668380450390011,0.35582166299354645,0.23960217310920007,0.37614093239572755,0.5504424794543032,1.9197531340745337,0.21458708693171022,-4.806235138705416,0.38837932578335027
2018,256,1.8337561119340853,0.16195854682702074,-4.009079064092373,0.3466710627555354,-2.186266231371383,0.2777432118697545,0.27110833107526244,0.2815524763249406,0.5231663176358968,1.939369468844246,0.19952795776004642,-4.230410571024068,0.4240172360587122
2019,256,1.9175798420264258,0.15320849846225784,-4.048537860866039,0.330253563207277,-2.1112747287683717,0.25783055705870295,0.34052495881037925,0.33010198045332784,0.5862746557054066,2.1878507926202033,0.19104054551756858,-4.64335562663565,0.4150451759896552
2020,256,1.715650642010132,0.16501365390654282,-4.274463614030701,0.35840688965771844,-2.4914533934615912,0.33527860319148906,0.2613305923615652,0.32513264393278674,0.5271604756739152,1.9387013337189418,0.2045144416122397,-4.696805100350315,0.4245849574466695
2021,272,1.805398853039684,0.16656737233865215,-4.5282988098549115,0.3455466751918984,-2.5081985635643784,0.3267559073662008,0.29352800853985317,0.3804932891886236,0.5688081877797435,2.214139134687012,0.20904786010743578,-5.22962344261154,0.40610472598838443
2022,271,1.5311497304638275,0.16742048989317102,-3.6169891726088834,0.33284338426542,-2.362270064543719,0.3612408549232104,0.2340798209157664,0.30242041583319745,0.4683457216514251,1.798833497722508,0.19839220024664117,-4.064862429353629,0.3764099020864529
2023,272,1.9180610992777505,0.1647414098227958,-4.011119230558835,0.32243658708709566,-2.0912364220666535,0.2540472903525156,0.2693460199693465,0.30244805720042256,0.5361794420366143,2.0544488277497295,0.20592735539789056,-4.260955356408781,0.39381112320776623
2024,272,1.6874161187650285,0.16424350709114868,-4.041661054988549,0.39251744866722904,-2.395177460996713,0.360731888365503,0.2969101757368413,0.29779332149530147,0.4956817406887287,2.0252611647247414,0.18966710621661856,-4.84726460889335,0.4529912852729004
2025,272,1.8909480358370654,0.1669087868588656,-3.8791841146812818,0.33693677438206193,-2.0514493477151974,0.2712017561734416,0.2982958869135526,0.30563503165647354,0.5299270322829461,2.15932925105187,0.20155350939710615,-4.412309967668707,0.4047403170858869
