season,metric,n,r,ci_lo,ci_hi
2007,turnover_diff_per_game,32,0.00627621161502923,-0.3431687755050623,0.3541950339761679
2007,margin_per_game,32,0.5157817304448722,0.20372828888408973,0.7326996785311427
2007,yards_per_play,32,0.650639561370152,0.3905516398465855,0.8145363392889018
2008,explosive_rate_per_play,32,0.1043710099354792,-0.25355056318665964,0.4371553485743264
2008,explosive_diff_per_game,32,0.5314867514226375,0.2243754334871541,0.7425641166570853
2008,turnovers_per_game,32,0.22612670102312227,-0.13305882678675168,0.5328091901617019
2008,turnover_diff_per_game,32,0.3143872201211492,-0.03853067213249689,0.5975723629918938
2008,margin_per_game,32,0.6058508017203394,0.3260335439589513,0.7880616161828038
2008,yards_per_play,32,0.5730390613697457,0.28036662229551507,0.7682291250178495
2009,explosive_rate_per_play,32,0.17617131254435928,-0.18381434998389326,0.494488892113297
2009,explosive_diff_per_game,32,0.28245648969067255,-0.07347399882434545,0.5745614044546976
2009,turnovers_per_game,32,-0.0681326327683978,-0.40715367459877044,0.28738896285780896
2009,turnover_diff_per_game,32,0.18230457442991777,-0.17768453613856183,0.4992612526787644
2009,margin_per_game,32,0.5457327853140094,0.24334604150572106,0.7514336434141821
2009,yards_per_play,32,0.6282301759296779,0.35794841138171296,0.8013749008099953
2010,explosive_rate_per_play,32,0.4249632447409958,0.08953706715866076,0.6738105399131524
2010,explosive_diff_per_game,32,0.1814985691802252,-0.17849168574233612,0.4986351865245644
2010,turnovers_per_game,32,0.22989882766422748,-0.12914822391220668,0.5356525660466219
2010,turnover_diff_per_game,32,0.11036564055232187,-0.24786720995039704,0.44204791244758496
2010,margin_per_game,32,0.5207081756390466,0.2101752665116897,0.7358038573681763
2010,yards_per_play,32,0.5875409780415176,0.3003881221773929,0.777041006073718
2011,explosive_rate_per_play,32,0.5136627135266145,0.20096354280591225,0.7313616929746906
2011,explosive_diff_per_game,32,0.5414389125409526,0.23760368222826678,0.7487680983537537
2011,turnovers_per_game,32,0.00595008209393211,-0.3434564769906622,0.3539097751438965
2011,turnover_diff_per_game,32,0.17220079205558259,-0.18776776440123213,0.49138911696116
2011,margin_per_game,32,0.5278627130932206,0.21958636892844693,0.7402959301619736
2011,yards_per_play,32,0.7646260109862852,0.5671443355198554,0.8789688775614743
2012,explosive_rate_per_play,32,0.3832238318640243,0.03985569173982024,0.6456420498366466
2012,explosive_diff_per_game,32,0.4029624123541031,0.06314032487538332,0.6590525389216892
2012,turnovers_per_game,32,-0.030866778153037643,-0.3755190147821757,0.32128520368236696
2012,turnover_diff_per_game,32,0.33507748240904595,-0.015417908355711777,0.6122378855305481
2012,margin_per_game,32,0.47232659187496195,0.14800938831495264,0.7049217570593787
2012,yards_per_play,32,0.6263622733527996,0.3552602494956243,0.8002702255703317
2013,explosive_rate_per_play,32,0.48847251708436706,0.1684743482780767,0.7153267299135756
2013,explosive_diff_per_game,32,0.44285870048136167,0.11136139780139309,0.6856700252817408
2013,turnovers_per_game,32,0.29447291667355796,-0.060425611425634816,0.5832756049725819
2013,turnover_diff_per_game,32,0.23715917516916846,-0.12158978027803478,0.5411058682720311
