game_id,season,week,game_type,team,opponent,points_for,points_against,is_home,plays,pass_plays,rush_plays,dropbacks,sacks_taken,negative_plays,yards,epa_total,explosive_20_10,explosive_25_15,explosive_20_20,explosive_epa2,explosive_20_10_ng,explosive_25_15_ng,explosive_20_20_ng,explosive_epa2_ng,turnovers,turnovers_ng,turnovers_scrimmage,turnovers_scrimmage_ng,def_plays_made,drives,drive_plays_total,drive_seconds_total,franchise,opp_franchise,margin,win,explosive_20_10_diff,explosive_25_15_diff,explosive_20_20_diff,explosive_epa2_diff,explosive_20_10_ng_diff,explosive_25_15_ng_diff,explosive_20_20_ng_diff,explosive_epa2_ng_diff,turnovers_diff,turnovers_ng_diff,turnovers_scrimmage_diff,turnovers_scrimmage_ng_diff,yards_diff
1999_02_ATL_DAL,1999,2,REG,ATL,DAL,7,24,False,65,41,24,41,4,4,324.0,-22.715780364874597,5,3,4,4,2,1,1,1,4.0,2.0,4.0,2.0,10,14,67.0,1632.0,ATL,DAL,-17,0.0,1,1,2,2,-1,-1,-1,0,2.0,1.0,2.0,1.0,100.0
1999_02_CLE_TEN,1999,2,REG,TEN,CLE,26,9,True,72,39,33,39,0,3,409.0,17.091729653701176,5,0,3,1,4,0,2,1,0.0,0.0,0.0,0.0,10,10,76.0,2480.0,TEN,CLE,17,1.0,1,-3,2,0,1,-3,1,0,-1.0,0.0,-1.0,0.0,236.0
1999_02_CLE_TEN,1999,2,REG,CLE,TEN,9,26,False,48,32,16,32,7,10,173.0,-4.22933303427164,4,3,1,1,3,3,1,1,1.0,0.0,1.0,0.0,3,10,48.0,1120.0,CLE,TEN,-17,0.0,-1,3,-2,0,-1,3,-1,0,1.0,0.0,1.0,0.0,-236.0
1999_02_DEN_KC,1999,2,REG,KC,DEN,26,10,True,61,20,41,20,1,3,365.0,-2.458062978883185,6,5,6,4,4,3,4,3,1.0,0.0,1.0,0.0,6,11,66.0,2008.0,KC,DEN,16,1.0,4,4,5,3,2,2,3,2,-3.0,-4.0,-3.0,-4.0,121.0
1999_02_DEN_KC,1999,2,REG,DEN,KC,10,26,False,59,33,26,33,2,3,244.0,-18.275192322986832,2,1,1,1,2,1,1,1,4.0,4.0,4.0,4.0,3,11,60.0,1592.0,DEN,KC,-16,0.0,-4,-4,-5,-3,-2,-2,-3,-2,3.0,4.0,3.0,4.0,-121.0
1999_02_GB_DET,1999,2,REG,DET,GB,23,15,True,51,20,31,20,4,7,234.0,-6.614546371313266,4,2,3,3,4,2,3,3,2.0,2.0,2.0,2.0,7,14,53.0,1577.0,DET,GB,8,1.0,-8,-4,-4,-3,-8,-4,-4,-3,-1.0,-1.0,-1.0,-1.0,-203.0
1999_02_GB_DET,1999,2,REG,GB,DET,15,23,False,73,42,31,42,1,6,437.0,-9.05736106266475,12,6,7,6,12,6,7,6,3.0,3.0,3.0,3.0,9,13,75.0,2023.0,GB,DET,-8,0.0,8,4,4,3,8,4,4,3,1.0,1.0,1.0,1.0,203.0
1999_02_IND_NE,1999,2,REG,NE,IND,31,28,True,69,45,24,45,1,2,387.0,-1.9508946823189035,5,2,4,5,5,2,4,5,1.0,1.0,1.0,1.0,4,14,74.0,1743.0,NE,IND,3,1.0,-1,1,1,1,0,1,1,1,-3.0,-2.0,-3.0,-2.0,59.0
1999_02_IND_NE,1999,2,REG,IND,NE,28,31,False,61,29,32,29,0,0,328.0,1.887442055158317,6,1,3,4,5,1,3,4,4.0,3.0,4.0,3.0,3,13,63.0,1857.0,IND,NE,-3,0.0,1,-1,-1,-1,0,-1,-1,-1,3.0,2.0,3.0,2.0,-59.0
1999_02_JAX_CAR,1999,2,REG,CAR,JAX,20,22,True,48,30,18,30,4,3,267.0,5.171592070532031,6,2,2,3,6,2,2,3,1.0,1.0,1.0,1.0,5,11,48.0,1311.0,CAR,JAX,-2,0.0,1,-2,-1,-1,1,-2,-1,-1,0.0,0.0,0.0,0.0,-145.0
