qb_id,old_team,season_s,season_s1,team_explosive_rate_s_old_qb,team_explosive_rate_s1_new_qb,team_explosive_diff_s_old_qb,team_explosive_diff_s1_new_qb,new_starter_qb_id,new_starter_games
00-0022942,LAC,2019,2020,0.14960629921259844,0.1362940275650842,0.9375,-0.5333333333333333,00-0036355,15
00-0023436,SF,2012,2013,0.2636986301369863,0.22664015904572565,4.444444444444445,2.3125,00-0027974,16
00-0023436,KC,2017,2018,0.17739130434782607,0.20408163265306123,-0.4666666666666667,0.0625,00-0033873,16
00-0023459,NYJ,2024,2025,0.14456035767511177,0.10726643598615918,-0.4117647058823529,-4.0,00-0028118,8
00-0023541,CHI,2008,2009,0.13851992409867173,0.1437908496732026,-0.26666666666666666,-0.75,00-0024226,16
00-0023662,NE,2008,2009,0.15042735042735042,0.1495176848874598,0.9333333333333333,0.25,00-0019596,16
00-0023682,CIN,2008,2009,0.10629067245119306,0.1746641074856046,-0.5,0.875,00-0021429,16
00-0023682,BUF,2012,2013,0.18388791593695272,0.14921465968586387,-0.8125,-1.0,00-0030526,10
00-0023682,HOU,2014,2015,0.21148825065274152,0.14402173913043478,1.25,0.2222222222222222,00-0026625,9
00-0024226,DEN,2008,2009,0.15337423312883436,0.16106194690265488,-0.5,0.2,00-0023541,15
00-0026143,ATL,2021,2022,0.13629160063391443,0.23796033994334279,-1.2352941176470589,-0.15384615384615385,00-0032268,13
00-0026158,BAL,2018,2019,0.1262135922330097,0.2791666666666667,-0.1111111111111111,3.6666666666666665,00-0034796,15
00-0026498,DET,2020,2021,0.14710485133020346,0.15018315018315018,-1.6875,-0.6428571428571429,00-0033106,14
00-0026625,CLE,2014,2015,0.18924731182795698,0.1056701030927835,0.23076923076923078,-1.875,00-0021206,8
00-0027854,PHI,2015,2016,0.14839797639123103,0.14652567975830816,-0.35714285714285715,-0.8125,00-0032950,16
00-0027973,CIN,2019,2020,0.12784588441331,0.0989247311827957,-3.1538461538461537,-3.8,00-0036442,10
00-0028986,LAR,2016,2017,0.13372093023255813,0.218568665377176,-0.7777777777777778,1.4,00-0033106,15
00-0028986,MIN,2017,2018,0.16865079365079366,0.1293233082706767,2.7142857142857144,-0.0625,00-0029604,16
00-0028986,DEN,2018,2019,0.17034700315457413,0.14625850340136054,0.4375,0.625,00-0026158,8
00-0029263,SEA,2021,2022,0.1928721174004193,0.16539050535987748,0.9285714285714286,-0.4117647058823529,00-0030565,17
00-0029263,DEN,2023,2024,0.16129032258064516,0.16434108527131783,-1.2,1.0,00-0039732,17
00-0029604,WSH,2017,2018,0.15728476821192053,0.16883116883116883,-0.9375,0.0,00-0023436,10
00-0029604,MIN,2023,2024,0.1467065868263473,0.1805111821086262,1.375,1.3529411764705883,00-0034869,17
00-0029701,MIA,2018,2019,0.16049382716049382,0.11205432937181664,-2.727272727272727,-2.3076923076923075,00-0023682,13
00-0030565,SEA,2024,2025,0.14561664190193166,0.2153846153846154,0.11764705882352941,2.3529411764705883,00-0034869,17
00-0031237,CAR,2020,2021,0.1683673469387755,0.12375249500998003,0.2,-1.1666666666666667,00-0034869,12
00-0031280,OAK,2022,2023,0.16903914590747332,0.11977715877437325,0.13333333333333333,-1.5,00-0038579,10
00-0032950,PHI,2020,2021,0.12244897959183673,0.22265625,-0.5,2.8666666666666667,00-0036389,15
00-0033106,LAR,2020,2021,0.16275167785234898,0.17103235747303544,2.066666666666667,0.7647058823529411,00-0026498,17
00-0034869,NYJ,2020,2021,0.1288056206088993,0.15416666666666667,-1.25,-2.3846153846153846,00-0037013,13
00-0034869,MIN,2024,2025,0.1805111821086262,0.1774193548387097,1.3529411764705883,0.2,00-0039923,10
00-0035289,IND,2023,2024,0.1422924901185771,0.1806282722513089,-0.6923076923076923,-0.45454545454545453,00-0026158,11
00-0035710,NYG,2024,2025,0.13350125944584382,0.1655011655011655,-2.0,-1.25,00-0040691,12
