season,team_games,pass_plays,rush_plays,dropbacks,rush_attempts,exp_pass_20,exp_rush_10,exp_pass_25,exp_rush_15,pass_rate,exp_pass20_per_teamgame,exp_rush10_per_teamgame,exp_pass20_per_dropback,exp_rush10_per_rushattempt,exp_pass25_per_teamgame,exp_rush15_per_teamgame,exp_pass25_per_dropback,exp_rush15_per_rushattempt,total_exp2010,rush_share_of_explosive_2010,total_exp2515,rush_share_of_explosive_2515
2016,512,19421,12970,20072,12970,1593,1470,946,637,0.5995801302831033,3.111328125,2.87109375,0.07936428856117975,0.1133384734001542,1.84765625,1.244140625,0.04713033080908729,0.04911333847340015,3063,0.47992164544564153,1583,0.40240050536955146
2017,512,18688,13380,19414,13380,1538,1471,908,626,0.5827616315329924,3.00390625,2.873046875,0.07922118059132585,0.10994020926756352,1.7734375,1.22265625,0.04677037189656948,0.04678624813153961,3009,0.48886673313393153,1534,0.40808344198174706
2018,512,18972,12908,19765,12908,1645,1637,963,761,0.5951066499372647,3.212890625,3.197265625,0.08322792815583102,0.1268205763867369,1.880859375,1.486328125,0.048722489248671896,0.05895568639603347,3282,0.4987812309567337,1724,0.441415313225058
2019,512,19137,13019,19921,13019,1687,1513,995,681,0.5951299912924493,3.294921875,2.955078125,0.08468450378997039,0.11621476303863584,1.943359375,1.330078125,0.04994729180262035,0.05230816498963054,3200,0.4728125,1676,0.4063245823389022
2020,512,19161,13414,20024,13414,1599,1632,935,643,0.5882118188795088,3.123046875,3.1875,0.07985417499001199,0.1216639332041151,1.826171875,1.255859375,0.04669396723931282,0.04793499329059192,3231,0.5051067780872794,1578,0.40747782002534855
2021,544,19997,14142,20907,14142,1645,1640,952,656,0.5857523653299745,3.0238970588235294,3.014705882352941,0.07868178122160042,0.11596662423985292,1.75,1.2058823529411764,0.04553498828143684,0.04638664969594117,3285,0.4992389649923896,1608,0.4079601990049751
2022,542,19393,14377,20298,14377,1572,1720,922,760,0.5742671009771987,2.9003690036900367,3.1734317343173433,0.07744605379840379,0.11963552896988246,1.7011070110701108,1.4022140221402215,0.045423194403389495,0.05286221047506434,3292,0.5224787363304981,1682,0.4518430439952438
2023,544,19735,14222,20770,14222,1652,1596,992,662,0.5811761934210914,3.036764705882353,2.9338235294117645,0.07953779489648531,0.11222050344536634,1.8235294117647058,1.2169117647058822,0.04776119402985075,0.04654760230628604,3248,0.49137931034482757,1654,0.40024183796856105
2024,544,19153,14317,20215,14317,1582,1712,946,713,0.572243800418285,2.9080882352941178,3.1470588235294117,0.07825871877318823,0.11957812390864007,1.7389705882352942,1.3106617647058822,0.04679693297056641,0.04980093595026891,3294,0.5197328476017,1659,0.42977697408077153
2025,544,18741,14200,19830,14200,1556,1590,910,675,0.5689262621049755,2.860294117647059,2.922794117647059,0.07846696923852749,0.1119718309859155,1.6727941176470589,1.2408088235294117,0.04589006555723651,0.04753521126760563,3146,0.505403687221869,1585,0.42586750788643535
