season,date,week,game_type,home_franchise,away_franchise,home_score,away_score,neutral_site,overtime,source,margin,game_uid,week_index,n_weeks,phase,home_conf,away_conf,indoor,div_game,home_win,decade,phase_label,adj_margin,home_status,away_status,home_games_back,away_games_back
1970,1970-10-12,,REG,LAC,GB,20,22,False,,fivethirtyeight,-2,G000051,4,14,1,AFC,NFC,,,0.0,1970s,Early (first third),-3.143485556984166,alive,alive,1.5,0.0
1970,1970-10-18,,REG,SF,NO,20,20,False,,fivethirtyeight,0,G000052,5,14,2,NFC,NFC,,,0.5,1970s,Middle third,-14.359958886049128,alive,alive,0.0,2.0
1970,1970-10-18,,REG,PHI,ARI,20,35,False,,fivethirtyeight,-15,G000053,5,14,2,NFC,NFC,,,0.0,1970s,Middle third,-3.0958828386804527,longshot,alive,3.0,0.0
1970,1970-10-18,,REG,TEN,PIT,3,7,False,,fivethirtyeight,-4,G000054,5,14,2,AFC,AFC,,,0.0,1970s,Middle third,-2.1892120011521543,alive,alive,1.0,2.0
1970,1970-10-18,,REG,NYJ,IND,22,29,False,,fivethirtyeight,-7,G000055,5,14,2,AFC,AFC,,,0.0,1970s,Middle third,-1.7082705585259212,alive,alive,2.0,-1.0
1970,1970-10-18,,REG,NE,NYG,0,16,False,,fivethirtyeight,-16,G000056,5,14,2,AFC,NFC,,,0.0,1970s,Middle third,1.858524131820701,alive,alive,2.0,2.0
1970,1970-10-18,,REG,MIN,DAL,54,13,False,,fivethirtyeight,41,G000057,5,14,2,NFC,NFC,,,1.0,1970s,Middle third,32.89956311729226,alive,alive,0.0,0.0
1970,1970-10-18,,REG,DEN,ATL,24,10,False,,fivethirtyeight,14,G000058,5,14,2,AFC,NFC,,,1.0,1970s,Middle third,14.319299371466162,alive,alive,-1.0,1.0
1970,1970-10-18,,REG,CLE,DET,24,41,False,,fivethirtyeight,-17,G000059,5,14,2,AFC,NFC,,,0.0,1970s,Middle third,-3.5081625540957972,alive,alive,-1.0,0.0
1970,1970-10-18,,REG,CIN,KC,19,27,False,,fivethirtyeight,-8,G000060,5,14,2,AFC,AFC,,,0.0,1970s,Middle third,-7.017594772486545,alive,alive,2.0,1.0
1970,1970-10-18,,REG,BUF,MIA,14,33,False,,fivethirtyeight,-19,G000061,5,14,2,AFC,AFC,,,0.0,1970s,Middle third,-8.035468202275524,alive,alive,2.0,-1.0
1970,1970-10-18,,REG,GB,LAR,21,31,False,,fivethirtyeight,-10,G000062,5,14,2,NFC,NFC,,,0.0,1970s,Middle third,1.4503958863251345,alive,alive,0.0,0.0
1970,1970-10-18,,REG,CHI,LAC,7,20,False,,fivethirtyeight,-13,G000063,5,14,2,NFC,AFC,,,0.0,1970s,Middle third,-15.899439522599318,alive,alive,1.0,2.5
1970,1970-10-19,,REG,OAK,WSH,34,20,False,,fivethirtyeight,14,G000064,5,14,2,AFC,NFC,,,1.0,1970s,Middle third,15.928318955101764,alive,alive,1.5,1.0
1970,1970-10-25,,REG,NYG,ARI,35,17,False,,fivethirtyeight,18,G000065,6,14,2,NFC,NFC,,,1.0,1970s,Middle third,23.455796798929363,alive,alive,2.0,-0.5
1970,1970-10-25,,REG,MIA,CLE,0,28,False,,fivethirtyeight,-28,G000066,6,14,2,AFC,AFC,,,0.0,1970s,Middle third,-26.119713585964686,alive,alive,-1.0,0.0
1970,1970-10-25,,REG,KC,DAL,16,27,False,,fivethirtyeight,-11,G000067,6,14,2,AFC,NFC,,,0.0,1970s,Middle third,-5.5535983946834495,alive,alive,0.0,1.0
1970,1970-10-25,,REG,GB,PHI,30,17,False,,fivethirtyeight,13,G000068,6,14,2,NFC,NFC,,,1.0,1970s,Middle third,10.368335867747685,alive,longshot,1.0,4.0
1970,1970-10-25,,REG,IND,NE,27,3,False,,fivethirtyeight,24,G000069,6,14,2,AFC,AFC,,,1.0,1970s,Middle third,7.710989051802688,alive,alive,-1.0,2.0
1970,1970-10-25,,REG,CHI,DET,10,16,False,,fivethirtyeight,-6,G000070,6,14,2,NFC,NFC,,,0.0,1970s,Middle third,5.8423979118039675,alive,alive,2.0,-0.5
1970,1970-10-25,,REG,ATL,NO,32,14,False,,fivethirtyeight,18,G000071,6,14,2,NFC,NFC,,,1.0,1970s,Middle third,12.423420506047881,alive,alive,2.0,2.5
1970,1970-10-25,,REG,NYJ,BUF,6,10,False,,fivethirtyeight,-4,G000072,6,14,2,AFC,AFC,,,0.0,1970s,Middle third,-11.406746271316942,alive,alive,2.0,2.0
1970,1970-10-25,,REG,WSH,CIN,20,0,False,,fivethirtyeight,20,G000073,6,14,2,NFC,AFC,,,1.0,1970s,Middle third,17.58302288090256,alive,alive,2.0,2.0
1970,1970-10-25,,REG,LAC,TEN,31,31,False,,fivethirtyeight,0,G000074,6,14,2,AFC,AFC,,,0.5,1970s,Middle third,-8.551712102583858,alive,alive,1.5,1.0
1970,1970-10-25,,REG,SF,DEN,19,14,False,,fivethirtyeight,5,G000075,6,14,2,NFC,AFC,,,1.0,1970s,Middle third,-4.102678763563173,alive,alive,0.5,-1.0
1970,1970-10-25,,REG,OAK,PIT,31,14,False,,fivethirtyeight,17,G000076,6,14,2,AFC,AFC,,,1.0,1970s,Middle third,8.5336501613366,alive,alive,0.5,1.0
1970,1970-10-26,,REG,MIN,LAR,13,3,False,,fivethirtyeight,10,G000077,6,14,2,NFC,NFC,,,1.0,1970s,Middle third,4.540899042871516,alive,alive,-0.5,-0.5
1970,1970-11-01,,REG,DAL,PHI,21,17,False,,fivethirtyeight,4,G000078,7,14,2,NFC,NFC,,,1.0,1970s,Middle third,-7.440724092998195,alive,longshot,0.0,4.0
1970,1970-11-01,,REG,CLE,LAC,10,27,False,,fivethirtyeight,-17,G000079,7,14,2,AFC,AFC,,,0.0,1970s,Middle third,-18.24999998849908,alive,alive,-0.5,2.0
1970,1970-11-01,,REG,ATL,CHI,14,23,False,,fivethirtyeight,-9,G000080,7,14,2,NFC,NFC,,,0.0,1970s,Middle third,-4.517149424161035,alive,alive,1.0,2.0
