season,n,hfa,home_win_pct,raw_margin,hfa_se,home_adv,home_adv_se,sigma,hfa_phase1,hfa_phase2,hfa_phase3
1990,224,3.575892857142857,0.5848214285714286,3.575892857142857,0.8078022604049786,3.5758928571428603,0.8616471580556456,12.895953814926722,2.718582135643323,2.3672306347806185,5.386146961026996
1991,224,3.3482142857142856,0.5892857142857143,3.3482142857142856,0.7208766113297719,3.3482142857142927,0.7689273896679655,11.508251389775792,3.4634563678615717,3.9518146470724123,2.7229216596280366
1992,224,2.9776785714285716,0.6071428571428571,2.9776785714285716,0.8392590515556418,2.9776785714285725,0.8952007342525359,13.398137759845829,2.7739502525606,1.4531871619436176,4.512201899147699
1993,224,2.78125,0.5491071428571429,2.78125,0.8023941469684365,2.7812500000000004,0.8558785612078192,12.80961736289876,4.670824433125207,2.672500215169863,1.297229459754108
1994,224,1.4955357142857142,0.5714285714285714,1.4955357142857142,0.7557386194235881,1.495535714285713,0.8061131610757973,12.064797054859797,-0.3084985859036964,2.3101771049848603,2.195330963104337
1995,240,2.025,0.6,2.025,0.7293051963453733,2.0249999999999995,0.7780340627581525,12.053251871377682,2.1077084166080406,1.7402653610142855,2.2137686884032703
1996,240,3.720833333333333,0.6208333333333333,3.720833333333333,0.7476605151407374,3.720833333333335,0.7976158007289526,12.356610851580507,4.718574475952764,2.9518228550268004,3.6480078878009823
1997,240,2.7958333333333334,0.6083333333333333,2.7958333333333334,0.7879183292544715,2.7958333333333334,0.8405634594452607,13.021953119447952,0.5481732988493155,2.610798098438341,4.6855710711765735
1998,240,3.504166666666667,0.6291666666666667,3.504166666666667,0.6790447048127557,3.5041666666666726,0.7244153930718531,11.222595012414347,2.710971835301936,3.8106228220283787,3.8242538199237925
1999,248,3.064516129032258,0.5967741935483871,3.064516129032258,0.7044269832940826,3.06451612903226,0.7515443135164442,11.835331684594566,0.18364408037469515,2.3202514950340913,6.080399973778778
2000,248,2.8225806451612905,0.5564516129032258,2.8225806451612905,0.7205456376078003,2.822580645161292,0.7687411036427454,12.106147006319013,0.2730453989123411,3.3893605644631184,4.320619141494259
2001,248,2.0080645161290325,0.5483870967741935,2.0080645161290325,0.7349289584279595,2.008064516129034,0.7840864882294123,12.347806364449324,2.4321852714086507,1.2198958730411138,2.4219068375226813
2002,256,2.24609375,0.580078125,2.24609375,0.7356738081221561,2.2460937500000013,0.7849308083389064,12.558892933422502,2.056667605105105,0.6243418927648581,3.8449291087962956
2003,255,3.593207592411948,0.615686274509804,3.631372549019608,0.7792157527426556,3.59320759241195,0.830399118197852,13.256762690449646,1.399208184698194,4.1076748859506536,4.828897553037238
2004,256,2.5078125,0.56640625,2.5078125,0.7147089119693276,2.5078124999999982,0.7625622086928407,12.200995339085452,1.150164226726727,4.067526647286822,2.15708912037037
2005,255,3.621845362481916,0.5882352941176471,3.596078431372549,0.7262967010937136,3.6218453624819147,0.774804908981286,12.369929489420052,5.098925812573995,4.073750398879224,2.0938171751184753
